source_year,country_key,status,league_team_count,source_url,cache_path,detail
2013,sweden,CACHED,16,https://en.wikipedia.org/wiki/2012_Allsvenskan,/Users/buycell/Desktop/Akil Oyunu Elo/data/backtest_stage_b_2018_2026/_source_cache/2013_sweden_bd9d60de.html,
2013,switzerland,CACHED,10,https://en.wikipedia.org/wiki/2012–13_Swiss_Super_League,/Users/buycell/Desktop/Akil Oyunu Elo/data/backtest_stage_b_2018_2026/_source_cache/2013_switzerland_b4daae17.html,
2013,turkey,CACHED,18,https://en.wikipedia.org/wiki/2012–13_S%C3%BCper_Lig,/Users/buycell/Desktop/Akil Oyunu Elo/data/backtest_stage_b_2018_2026/_source_cache/2013_turkey_0c2ecc1a.html,
2013,ukraine,CACHED,16,https://en.wikipedia.org/wiki/2012–13_Ukrainian_Premier_League,/Users/buycell/Desktop/Akil Oyunu Elo/data/backtest_stage_b_2018_2026/_source_cache/2013_ukraine_f118b642.html,
2013,wales,CACHED,12,https://en.wikipedia.org/wiki/2012–13_Welsh_Premier_League,/Users/buycell/Desktop/Akil Oyunu Elo/data/backtest_stage_b_2018_2026/_source_cache/2013_wales_6a90c73c.html,
2014,albania,CACHED,12,https://en.wikipedia.org/wiki/2013–14_Albanian_Superliga,/Users/buycell/Desktop/Akil Oyunu Elo/data/backtest_stage_b_2018_2026/_source_cache/2014_albania_b076e6a6.html,
2014,andorra,CACHED,8,https://en.wikipedia.org/wiki/2013–14_Primera_Divisi%C3%B3,/Users/buycell/Desktop/Akil Oyunu Elo/data/backtest_stage_b_2018_2026/_source_cache/2014_andorra_5c1c0770.html,
2014,armenia,CACHED,8,https://en.wikipedia.org/wiki/2013–14_Armenian_Premier_League,/Users/buycell/Desktop/Akil Oyunu Elo/data/backtest_stage_b_2018_2026/_source_cache/2014_armenia_40bd86da.html,
2014,austria,CACHED,10,https://en.wikipedia.org/wiki/2013–14_Austrian_Football_Bundesliga,/Users/buycell/Desktop/Akil Oyunu Elo/data/backtest_stage_b_2018_2026/_source_cache/2014_austria_5d69c510.html,
2014,azerbaijan,CACHED,10,https://en.wikipedia.org/wiki/2013–14_Azerbaijan_Premier_League,/Users/buycell/Desktop/Akil Oyunu Elo/data/backtest_stage_b_2018_2026/_source_cache/2014_azerbaijan_60e58a1c.html,
2014,belarus,CACHED,12,https://en.wikipedia.org/wiki/2013_Belarusian_Premier_League,/Users/buycell/Desktop/Akil Oyunu Elo/data/backtest_stage_b_2018_2026/_source_cache/2014_belarus_d10fbd62.html,
