candidate,season,competition,teams,ranking_score,pairwise_accuracy,top_quartile_precision,rank_percentile_mae,zero_exposure_teams,zero_exposure_rank_mae,zero_exposure_mean_overrank,zero_exposure_extreme_overrank_count
country_b35_g0.6_c220,2018/19,UEL,213,0.38263963945941076,0.6487774873135476,0.5185185185185185,0.2588110824571844,30,0.26627543035993745,0.21572769953051643,5
country_b35_g0.6_c220,2018/19,UECL,0,,,0.0,,0,0.0,0.0,0
country_b35_g0.6_c220,2019/20,UCL,79,0.4257462130011996,0.6692195477753464,0.4,0.2512417881749719,3,0.2974683544303797,0.021097046413502112,0
country_b35_g0.6_c220,2019/20,UEL,213,0.32593754827112115,0.6243266374666465,0.4074074074074074,0.2653353611496837,25,0.2828169014084507,0.24,11
country_b35_g0.6_c220,2019/20,UECL,0,,,0.0,,0,0.0,0.0,0
country_b35_g0.6_c220,2020/21,UCL,79,0.46621505620036063,0.6903127383676583,0.55,0.23169363883992944,1,0.12658227848101264,0.12658227848101264,0
country_b35_g0.6_c220,2020/21,UEL,213,0.367594469873646,0.6557442671698976,0.5370370370370371,0.2561661046088739,34,0.26988400994200495,0.2292874896437448,10
country_b35_g0.6_c220,2020/21,UECL,0,,,0.0,,0,0.0,0.0,0
country_b35_g0.6_c220,2021/22,UCL,80,0.4468994836235315,0.6662030598052852,0.4,0.24718749999999998,0,0.0,0.0,0
country_b35_g0.6_c220,2021/22,UEL,58,0.4392917530954335,0.6659850034083163,0.4,0.2508917954815696,1,0.20689655172413793,0.20689655172413793,0
country_b35_g0.6_c220,2021/22,UECL,181,0.33644707154278186,0.6308516638465878,0.4782608695652174,0.2634229724367388,31,0.2994118695419712,0.25690607734806625,11
country_b35_g0.6_c220,2022/23,UCL,78,0.3397285822711637,0.6300707108299218,0.55,0.26019066403681784,2,0.14102564102564102,0.11217948717948717,0
country_b35_g0.6_c220,2022/23,UEL,57,0.3582918448186928,0.6360520904729267,0.4,0.25392428439519854,5,0.28947368421052627,0.22982456140350874,2
country_b35_g0.6_c220,2022/23,UECL,177,0.3104889966076099,0.6169423633261627,0.4444444444444444,0.26748380095119534,19,0.27639012786202793,0.24784418673803155,6
country_b35_g0.6_c220,2023/24,UCL,78,0.4088627704657211,0.6624907885040531,0.45,0.23142669296515442,2,0.20512820512820515,0.20512820512820515,1
country_b35_g0.6_c220,2023/24,UEL,57,0.6758752167348421,0.7648686030428768,0.5333333333333333,0.17820867959372116,3,0.304093567251462,0.14619883040935674,1
country_b35_g0.6_c220,2023/24,UECL,178,0.3577093238338679,0.639231220657277,0.4222222222222222,0.25498674409796745,23,0.31863702979970693,0.27357107962872496,6
country_b35_g0.6_c220,2024/25,UCL,81,0.4443812818385935,0.6629778672032193,0.38095238095238093,0.23776863283036123,6,0.2191358024691358,0.20781893004115223,1
country_b35_g0.6_c220,2024/25,UEL,76,0.42428210818694123,0.6584119496855346,0.5263157894736842,0.2515581717451523,9,0.27558479532163743,0.2266081871345029,4
