club_id,uefa_team_id,ao_team_name,country_code,opta_team_id,opta_team_name,opta_association,match_method,exact_candidate_count,identity_status
AO-UEFA-52355,52355,OGC Nice,FRA,bx0cdmzr2gwr70ez72dorx82p,Nice,France,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-2607924,2607924,Riga FC,LAT,5nqwiqpytmrp3o4ndubmbiy95,Riga,Latvia,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-50008,50008,Servette FC Genève,SUI,ccwv4ymbs3u0q8xaby4hqb0jz,Servette,Switzerland,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-79970,79970,Kairat Almaty,KAZ,6j2gnvqgprscy600ex68i5ynf,Kairat,Kazakhstan,MANUAL_ALIAS_VERIFIED,1,VERIFIED
AO-UEFA-59340,59340,Hapoel Beer-Sheva,ISR,9ppjmek1r3tb9yddebneaxj7i,Hapoel Be'er Sheva,Israel,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-59034,59034,Beitar Jerusalem,ISR,cx0rucvdzkg1yd00vrueu2u7,Beitar Jerusalem,Israel,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-2609552,2609552,FC Ballkani,KOS,cuzhkg1y2iv7fppnjldenfk2y,Ballkani,Kosovo,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-69529,69529,Aris Limassol,CYP,3yt473wfo7f64lhmyfsf0zxcg,Aris Limassol,Cyprus,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-50044,50044,Levski Sofia,BUL,c3yrcw3g5bj4rlmcxw9i8tale,Levski Sofia,Bulgaria,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-60514,60514,NK Varazdin,CRO,auws85cw488audeo1rdgbvs2z,Varaždin,Croatia,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-69606,69606,Sheriff Tiraspol,MOL,dcx559ojp4lgxwc9z9xxbzgre,Sheriff,Moldova,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-73390,73390,Zrinjski Mostar,BOS,39r69xdnw8usnndtetv3un9z3,Zrinjski,Bosnia and Herzegovina,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-50052,50052,HJK Helsinki,FIN,303582z192rnbr2x28o2t7u38,HJK,Finland,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-64211,64211,Fredrikstad FK,NOR,e5txudmuc2qpc460bs4lb5aff,Fredrikstad,Norway,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-52912,52912,Silkeborg IF,DEN,ahnt9ejgwj58ul8auzdvi3czf,Silkeborg,Denmark,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
