candidate,season,matches,log_loss,brier,decisive_accuracy,mean_season_spearman,stage
country_b10_g2.6_c260,2023/24,806,0.608945611102167,0.15739950201589584,0.6960629921259842,0.4093551985922653,country_strength
country_b10_g2.6_c260,2024/25,957,0.6224023934529868,0.16901128189122375,0.7006451612903226,0.4512876089664536,country_strength
country_b10_g2.6_c260,2025/26,961,0.6320390540019076,0.17213192883272116,0.6619170984455959,0.39249134722913337,country_strength
country_b10_g2.6_c280,2021/22,816,0.6159923422114145,0.1559505066841224,0.7006369426751592,0.4259247211117316,country_strength
country_b10_g2.6_c280,2022/23,804,0.6325109056492099,0.16435431929499766,0.6634460547504025,0.40534629213693,country_strength
country_b10_g2.6_c280,2023/24,806,0.6084455515998936,0.15717039077120723,0.6976377952755906,0.40994423884991726,country_strength
country_b10_g2.6_c280,2024/25,957,0.6225260799371264,0.16910902264472358,0.6967741935483871,0.4485107385972421,country_strength
country_b10_g2.6_c280,2025/26,961,0.6316983720426127,0.17195138007538802,0.6632124352331606,0.39407429147766726,country_strength
country_b10_g2.6_c300,2021/22,816,0.6156988813518968,0.15581170426140423,0.7038216560509554,0.4259819190258067,country_strength
country_b10_g2.6_c300,2022/23,804,0.6322667059582179,0.16422257666392245,0.6650563607085346,0.4040809820276084,country_strength
country_b10_g2.6_c300,2023/24,806,0.608127786374455,0.15702420054779498,0.6960629921259842,0.4093956921671319,country_strength
country_b10_g2.6_c300,2024/25,957,0.622896981421191,0.1693211365213005,0.6941935483870968,0.44885486101725186,country_strength
country_b10_g2.6_c300,2025/26,961,0.6316391935432384,0.17188770150845203,0.6683937823834197,0.3931865778096272,country_strength
country_b10_g2.6_c320,2021/22,816,0.6155540752156176,0.1557365448496885,0.7038216560509554,0.42387195152881507,country_strength
country_b10_g2.6_c320,2022/23,804,0.6322055846320752,0.16416609473947158,0.6634460547504025,0.40385292085405794,country_strength
country_b10_g2.6_c320,2023/24,806,0.6079906665542479,0.1569590600433846,0.6992125984251969,0.4085618070381939,country_strength
country_b10_g2.6_c320,2024/25,957,0.6235119215901344,0.169643108809051,0.687741935483871,0.44862743698800644,country_strength
country_b10_g2.6_c320,2025/26,961,0.6318556599816845,0.17193509896030076,0.667098445595855,0.39389693206128545,country_strength
country_b10_g2.6_c340,2021/22,816,0.615555402160017,0.15572229139247348,0.7038216560509554,0.42300081821841773,country_strength
country_b10_g2.6_c340,2022/23,804,0.632324104039886,0.1641812183416498,0.6666666666666666,0.40373507334387604,country_strength
country_b10_g2.6_c340,2023/24,806,0.6080322417499486,0.1569726496357915,0.7007874015748031,0.40602012893203504,country_strength
country_b10_g2.6_c340,2024/25,957,0.6243672938628179,0.17006978001816872,0.6916129032258065,0.4463743310497844,country_strength
country_b10_g2.6_c340,2025/26,961,0.6323415136526338,0.1720873098384254,0.667098445595855,0.3932470724942846,country_strength
country_b10_g2.6_c360,2021/22,816,0.6157002134295166,0.1557660827109889,0.7054140127388535,0.421205439248839,country_strength
country_b10_g2.6_c360,2022/23,804,0.6326186137871286,0.1642640843523744,0.6698872785829307,0.40505572884259483,country_strength
country_b10_g2.6_c360,2023/24,806,0.6082502763234118,0.15706223691023247,0.7007874015748031,0.4046249840212257,country_strength
country_b10_g2.6_c360,2024/25,957,0.6254590944769093,0.17059543942708325,0.6903225806451613,0.44438310732705727,country_strength
country_b10_g2.6_c360,2025/26,961,0.6330901566467656,0.17233772204739561,0.6619170984455959,0.3931787868275122,country_strength
country_b10_g2.6_c400,2021/22,816,0.6164091711695958,0.1560159558521001,0.7117834394904459,0.41819710133950955,country_strength
country_b10_g2.6_c400,2022/23,804,0.6337201203924069,0.1646169258527082,0.6650563607085346,0.4035537694820577,country_strength
country_b10_g2.6_c400,2023/24,806,0.6092054658611595,0.1574566594860068,0.7086614173228346,0.4022881280670081,country_strength
country_b10_g2.6_c400,2024/25,957,0.6283341951637823,0.17191871868743885,0.6890322580645162,0.44341138647482653,country_strength
country_b10_g2.6_c400,2025/26,961,0.6353480671354429,0.17310564023115296,0.6645077720207254,0.391594009406716,country_strength
country_b12.5_g1.4_c220,2021/22,816,0.620447529726633,0.15786857097717344,0.6910828025477707,0.41992120989234394,country_strength
country_b12.5_g1.4_c220,2022/23,804,0.6344977580628789,0.16524571127203638,0.6553945249597424,0.40241871188398975,country_strength
country_b12.5_g1.4_c220,2023/24,806,0.6130094686705049,0.15914108749558176,0.6960629921259842,0.4125080471655962,country_strength
country_b12.5_g1.4_c220,2024/25,957,0.6256724261662686,0.17036809584180695,0.6980645161290323,0.45026305222864066,country_strength
country_b12.5_g1.4_c220,2025/26,961,0.6354512447830455,0.1735964164704978,0.6606217616580311,0.3757182793217525,country_strength
country_b12.5_g1.4_c240,2021/22,816,0.6198499193442829,0.15759240414210657,0.6894904458598726,0.41755793734730556,country_strength
country_b12.5_g1.4_c240,2022/23,804,0.6337102005875981,0.1648805487705993,0.6570048309178744,0.40122878601195044,country_strength
country_b12.5_g1.4_c240,2023/24,806,0.6123595567913275,0.15883814886986442,0.6929133858267716,0.4137350966551572,country_strength
country_b12.5_g1.4_c240,2024/25,957,0.6254397009971039,0.17028938609255892,0.6993548387096774,0.4503531029553722,country_strength
country_b12.5_g1.4_c240,2025/26,961,0.6345163718902044,0.17315533919750034,0.6606217616580311,0.3744153521362916,country_strength
country_b12.5_g1.4_c260,2021/22,816,0.6194082532698576,0.15739000900824893,0.6910828025477707,0.419446376415181,country_strength
country_b12.5_g1.4_c260,2022/23,804,0.6331192579328737,0.1646046148092615,0.6570048309178744,0.3993188929623221,country_strength
country_b12.5_g1.4_c260,2023/24,806,0.6119021384041616,0.1586254818916158,0.6960629921259842,0.41183990318029806,country_strength
country_b12.5_g1.4_c260,2024/25,957,0.625457675679974,0.17033304472134705,0.6916129032258065,0.4483503931705619,country_strength
country_b12.5_g1.4_c260,2025/26,961,0.6338610047284391,0.17283915325554836,0.6593264248704663,0.37357575924013814,country_strength
country_b12.5_g1.4_c280,2021/22,816,0.6191212451327301,0.15726001406892368,0.6926751592356688,0.417633293329341,country_strength
country_b12.5_g1.4_c280,2022/23,804,0.6327229442895252,0.16441603644300215,0.6570048309178744,0.3994042966235471,country_strength
country_b12.5_g1.4_c280,2023/24,806,0.6116364625711221,0.1585024343096373,0.6992125984251969,0.41193360342911717,country_strength
country_b12.5_g1.4_c280,2024/25,957,0.6257248546481649,0.17049685685423474,0.6890322580645162,0.44617768966692173,country_strength
country_b12.5_g1.4_c280,2025/26,961,0.6334814545127773,0.17264471217464342,0.6632124352331606,0.3751692442291806,country_strength
country_b12.5_g1.4_c300,2021/22,816,0.6189874139439214,0.15720074535452966,0.6942675159235668,0.415557826161474,country_strength
country_b12.5_g1.4_c300,2022/23,804,0.6325189672870396,0.1643124801801062,0.6570048309178744,0.3984252557697281,country_strength
country_b12.5_g1.4_c300,2023/24,806,0.6115614418238442,0.158467814820805,0.6992125984251969,0.4105916651922604,country_strength
country_b12.5_g1.4_c300,2024/25,957,0.6262392590687321,0.1707777723060425,0.687741935483871,0.44391125989668334,country_strength
country_b12.5_g1.4_c300,2025/26,961,0.6333735241661376,0.17256809572768997,0.6632124352331606,0.37346943524892223,country_strength
country_b12.5_g1.4_c320,2021/22,816,0.6190050967917128,0.1572102579927972,0.6942675159235668,0.41299935438586205,country_strength
country_b12.5_g1.4_c320,2022/23,804,0.6325047493459337,0.16429120297900576,0.6650563607085346,0.39671527408352575,country_strength
country_b12.5_g1.4_c320,2023/24,806,0.6116756612370311,0.15851991238902224,0.6976377952755906,0.41013728961381596,country_strength
country_b12.5_g1.4_c320,2024/25,957,0.6269984450396865,0.1711719619201011,0.6890322580645162,0.4394845315698545,country_strength
country_b12.5_g1.4_c320,2025/26,961,0.6335325513259903,0.17260470076572815,0.6696891191709845,0.3750780439091289,country_strength
country_b12.5_g1.4_c340,2021/22,816,0.6191724622940472,0.15728636935628082,0.6990445859872612,0.4106020354633981,country_strength
country_b12.5_g1.4_c340,2022/23,804,0.6326774507085619,0.1643491068591335,0.6698872785829307,0.3939499130753703,country_strength
country_b12.5_g1.4_c340,2023/24,806,0.6119773902457639,0.15865652337300898,0.6960629921259842,0.40896391765372925,country_strength
country_b12.5_g1.4_c340,2024/25,957,0.6279995259377052,0.17167488685053903,0.6903225806451613,0.43659601667719516,country_strength
country_b12.5_g1.4_c340,2025/26,961,0.6339534539900162,0.17274933985845342,0.667098445595855,0.37556200138638773,country_strength
country_b12.5_g1.4_c360,2021/22,816,0.6194875246088615,0.15742669301911433,0.697452229299363,0.41066558870125924,country_strength
country_b12.5_g1.4_c360,2022/23,804,0.6330339937349553,0.16448279553004747,0.6682769726247987,0.3942686261798299,country_strength
country_b12.5_g1.4_c360,2023/24,806,0.6124645970073211,0.15887498588885243,0.6913385826771653,0.405722548242318,country_strength
country_b12.5_g1.4_c360,2024/25,957,0.6292391984646188,0.17228137861300363,0.687741935483871,0.43510604470377473,country_strength
country_b12.5_g1.4_c360,2025/26,961,0.6346307780016414,0.17299634491678487,0.6645077720207254,0.3745908783804111,country_strength
country_b12.5_g1.4_c400,2021/22,816,0.6205521104563537,0.15788961638255536,0.7054140127388535,0.40735991242907926,country_strength
