season,country,check,status,detail
2023/24,Northern Ireland,league_team_count_plausible,PASS,12
2023/24,Northern Ireland,participant_position_coverage,PASS,all=4/4; required=3/3
2023/24,Norway,league_team_count_plausible,PASS,16
2023/24,Norway,participant_position_coverage,PASS,all=3/4; required=3/3
2023/24,Poland,league_team_count_plausible,PASS,18
2023/24,Poland,participant_position_coverage,PASS,all=4/4; required=3/3
2023/24,Portugal,league_team_count_plausible,PASS,18
2023/24,Portugal,participant_position_coverage,PASS,all=6/6; required=5/5
2023/24,Romania,league_team_count_plausible,PASS,16
2023/24,Romania,participant_position_coverage,PASS,all=4/4; required=3/3
2023/24,San Marino,league_team_count_plausible,PASS,15
2023/24,San Marino,participant_position_coverage,PASS,all=3/3; required=3/3
2023/24,Scotland,league_team_count_plausible,PASS,12
2023/24,Scotland,participant_position_coverage,PASS,all=5/5; required=5/5
2023/24,Serbia,league_team_count_plausible,PASS,16
2023/24,Serbia,participant_position_coverage,PASS,all=5/5; required=4/4
2023/24,Slovakia,league_team_count_plausible,PASS,12
2023/24,Slovakia,participant_position_coverage,PASS,all=4/4; required=3/3
2023/24,Slovenia,league_team_count_plausible,PASS,10
2023/24,Slovenia,participant_position_coverage,PASS,all=4/4; required=3/3
2023/24,Spain,league_team_count_plausible,PASS,20
2023/24,Spain,participant_position_coverage,PASS,all=8/8; required=7/7
2023/24,Sweden,league_team_count_plausible,PASS,16
2023/24,Sweden,participant_position_coverage,PASS,all=4/4; required=3/3
2023/24,Switzerland,league_team_count_plausible,PASS,10
2023/24,Switzerland,participant_position_coverage,PASS,all=5/5; required=4/4
2023/24,Türkiye,league_team_count_plausible,PASS,19
2023/24,Türkiye,participant_position_coverage,PASS,all=4/4; required=3/3
2023/24,Ukraine,league_team_count_plausible,PASS,16
2023/24,Ukraine,participant_position_coverage,PASS,all=5/5; required=5/5
2023/24,Wales,league_team_count_plausible,PASS,12
2023/24,Wales,participant_position_coverage,PASS,all=4/4; required=3/3
2023/24,ALL,all_teams_enriched,PASS,234
2024/25,Albania,league_team_count_plausible,PASS,10
2024/25,Albania,participant_position_coverage,PASS,all=4/4; required=3/3
2024/25,Andorra,league_team_count_plausible,PASS,10
2024/25,Andorra,participant_position_coverage,PASS,all=3/3; required=2/2
2024/25,Armenia,league_team_count_plausible,PASS,10
2024/25,Armenia,participant_position_coverage,PASS,all=4/4; required=3/3
2024/25,Austria,league_team_count_plausible,PASS,12
2024/25,Austria,participant_position_coverage,PASS,all=5/5; required=4/4
2024/25,Azerbaijan,league_team_count_plausible,PASS,10
2024/25,Azerbaijan,participant_position_coverage,PASS,all=4/4; required=3/3
2024/25,Belarus,league_team_count_plausible,PASS,15
2024/25,Belarus,participant_position_coverage,PASS,all=4/4; required=3/3
2024/25,Belgium,league_team_count_plausible,PASS,16
2024/25,Belgium,participant_position_coverage,PASS,all=5/5; required=4/4
2024/25,Bosnia-Herzegovina,league_team_count_plausible,PASS,12
2024/25,Bosnia-Herzegovina,participant_position_coverage,PASS,all=4/4; required=3/3
2024/25,Bulgaria,league_team_count_plausible,PASS,16
2024/25,Bulgaria,participant_position_coverage,PASS,all=4/4; required=3/3
2024/25,Croatia,league_team_count_plausible,PASS,10
2024/25,Croatia,participant_position_coverage,PASS,all=4/4; required=3/3
2024/25,Cyprus,league_team_count_plausible,PASS,14
2024/25,Cyprus,participant_position_coverage,PASS,all=4/4; required=3/3
2024/25,Czechia,league_team_count_plausible,PASS,16
2024/25,Czechia,participant_position_coverage,PASS,all=5/5; required=4/4
2024/25,Denmark,league_team_count_plausible,PASS,12
2024/25,Denmark,participant_position_coverage,PASS,all=4/4; required=3/3
2024/25,England,league_team_count_plausible,PASS,20
2024/25,England,participant_position_coverage,PASS,all=7/7; required=5/5
2024/25,Estonia,league_team_count_plausible,PASS,10
2024/25,Estonia,participant_position_coverage,PASS,all=3/4; required=3/3
2024/25,Faroe Islands,league_team_count_plausible,PASS,10
2024/25,Faroe Islands,participant_position_coverage,PASS,all=4/4; required=3/3
2024/25,Finland,league_team_count_plausible,PASS,12
2024/25,Finland,participant_position_coverage,PASS,all=4/4; required=3/3
2024/25,France,league_team_count_plausible,PASS,18
2024/25,France,participant_position_coverage,PASS,all=7/7; required=6/6
2024/25,Georgia,league_team_count_plausible,PASS,10
2024/25,Georgia,participant_position_coverage,PASS,all=4/4; required=3/3
2024/25,Germany,league_team_count_plausible,PASS,18
2024/25,Germany,participant_position_coverage,PASS,all=8/8; required=7/7
2024/25,Gibraltar,league_team_count_plausible,PASS,11
2024/25,Gibraltar,participant_position_coverage,PASS,all=3/3; required=2/2
2024/25,Greece,league_team_count_plausible,PASS,14
2024/25,Greece,participant_position_coverage,PASS,all=4/4; required=3/3
2024/25,Hungary,league_team_count_plausible,PASS,12
