kulup,ulke,lig,lig_sirasi,sira,ao_first_max_g16,sira_uretim,ao_first_uretim,elo_farki,sira_farki,lig_gucu_L_yeni,lig_gucu_L_uretim,domestic_prior,domestic_prior_ayarli,european_prior,etkin_maruziyet,opta_sirasi
Bodø/Glimt,Norway,Norway top division,2.0,37,1630.2387,33,1683.6745,-53.4357,-4,0.5591,0.7502,1141.7568,1132.6826,1898.1536,0.65,23.0
Union Saint-Gilloise,Belgium,Belgium top division,2.0,38,1612.6763,39,1651.7175,-39.0412,1,0.7144,0.8481,1306.3688,1306.3688,1777.6111,0.65,21.0
Feyenoord,Netherlands,Netherlands top division,2.0,39,1610.8722,40,1651.202,-40.3298,1,0.6938,0.8357,1253.0075,1258.0449,1800.8561,0.65,46.0
Fenerbahçe,Türkiye,Türkiye top division,2.0,40,1598.364,41,1644.5394,-46.1754,1,0.6384,0.8016,1208.2048,1207.9609,1808.5811,0.65,29.0
AZ Alkmaar,Netherlands,Netherlands top division,7.0,41,1596.3832,43,1634.1112,-37.7279,2,0.6938,0.8357,1199.1585,1170.4498,1825.732,0.65,51.0
Viktoria Plzen,Czechia,Czechia top division,3.0,42,1594.408,42,1640.4442,-46.0362,0,0.6276,0.7949,1175.4333,1171.2951,1822.2381,0.65,59.0
Shakhtar Donetsk,Ukraine,Ukraine top division,1.0,43,1584.8996,38,1655.999,-71.0994,-5,0.413,0.6448,1099.6309,1099.6309,1846.1982,0.65,54.0
FC Midtjylland,Denmark,Denmark top division,2.0,44,1578.7899,44,1632.0479,-53.2579,0,0.5749,0.7607,1182.3631,1169.955,1798.9318,0.65,45.0
Ferencváros,Hungary,Hungary top division,2.0,45,1547.986,45,1612.3451,-64.3592,0,0.4405,0.6659,1071.0089,1056.6553,1812.5486,0.65,49.0
Ajax,Netherlands,Netherlands top division,5.0,46,1546.6535,48,1583.7786,-37.1251,2,0.6938,0.8357,1193.0935,1170.2685,1749.3224,0.65,47.0
Celtic,Scotland,Scotland top division,1.0,47,1530.1687,46,1600.2939,-70.1253,-1,0.4573,0.6785,1170.5043,1171.5006,1723.2976,0.65,50.0
Slavia Praha,Czechia,Czechia top division,1.0,48,1526.9679,49,1578.3399,-51.372,1,0.6276,0.7949,1287.7112,1289.2749,1654.9564,0.65,27.0
Lech Poznan,Poland,Poland top division,1.0,49,1525.2744,50,1577.6735,-52.3991,1,0.6466,0.8068,1304.3627,1325.0008,1641.2223,0.6333,43.0
Sparta Praha,Czechia,Czechia top division,2.0,50,1520.8614,52,1568.5947,-47.7333,2,0.6276,0.7949,1196.966,1208.8194,1688.8841,0.65,58.0
FC København,Denmark,Denmark top division,4.0,51,1518.8043,54,1566.5577,-47.7534,3,0.5749,0.7607,1090.6192,1064.8872,1763.2212,0.65,48.0
Celta de Vigo,Spain,Spain top division,6.0,52,1518.2465,57,1544.5299,-26.2834,5,0.9001,0.9519,1339.831,1369.831,1819.575,0.33,39.0
AEK Athens,Greece,Greece top division,1.0,53,1515.9361,55,1565.1788,-49.2427,2,0.6518,0.81,1308.9067,1325.728,1618.3559,0.65,42.0
Jagiellonia Bialystok,Poland,Poland top division,3.0,54,1514.8513,53,1566.9277,-52.0763,-1,0.6466,0.8068,1195.5774,1220.7513,1710.918,0.6,66.0
Dinamo Zagreb,Croatia,Croatia top division,1.0,55,1514.7017,47,1587.1051,-72.4034,-8,0.4324,0.6598,1147.9912,1153.4378,1709.2284,0.65,34.0
Pafos FC,Cyprus,Cyprus top division,4.0,56,1508.9536,51,1570.0382,-61.0847,-5,0.5525,0.7458,1121.2854,1116.7921,1770.3945,0.6,57.0
