fold,test_season,model,candidate_key,alpha,tau,base_bonus,complexity,matches,brier_1x2,log_loss_1x2,accuracy_1x2,ranking_score,pairwise_accuracy,minimum_start_end_rank_correlation,maximum_abs_rating_change,maximum_abs_match_delta,maximum_total_elo_error
3,2022/23,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.025_t300_b0,0.025,300.0,0.0,1,804,0.5985511980745993,1.0026654733132512,0.4975124378109453,0.3566815486069052,0.6116195914903451,0.9408211047992016,445.91045466703736,88.1822710998485,9.094947017729282e-13
4,2023/24,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.025_t300_b0,0.025,300.0,0.0,1,806,0.5712748376311839,0.9636045197074621,0.543424317617866,0.3263827268217149,0.6160331923542502,0.9373797967168437,301.606810960453,92.73122109614529,4.547473508864641e-13
5,2024/25,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.025_t300_b0,0.025,300.0,0.0,1,957,0.5762910131494667,0.9711954188392842,0.54858934169279,0.24641892515116534,0.5876257606398977,0.9361802553556673,378.69571698296613,91.03342104905215,1.1641532182693481e-10
6,2025/26,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.025_t300_b0,0.025,300.0,0.0,1,961,0.59040882799366,0.9908530307173822,0.5296566077003122,,,0.940660163329027,365.5940263888224,91.23519894816788,4.547473508864641e-13
1,2020/21,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.025_t400_b0,0.025,400.0,0.0,1,540,0.5453557467600711,0.9291702180164211,0.5796296296296296,0.2902055263141551,0.5997360770613964,0.9685563562477124,454.6685449291672,90.30177374903609,4.547473508864641e-13
2,2021/22,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.025_t400_b0,0.025,400.0,0.0,1,816,0.5820192184381299,0.9792294228730184,0.5392156862745098,0.2629007987943642,0.5935150511876507,0.9411854851359123,426.4865797463706,92.1187253888363,4.547473508864641e-13
3,2022/23,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.025_t400_b0,0.025,400.0,0.0,1,804,0.598539826443692,1.002648672921074,0.4975124378109453,0.35637646048177407,0.6115697330569426,0.9408571547834534,446.26692185318257,88.17297231628905,5.820766091346741e-11
4,2023/24,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.025_t400_b0,0.025,400.0,0.0,1,806,0.5712725960039426,0.963600856092092,0.543424317617866,0.32667938521027423,0.6161932959031114,0.9371774969619917,301.79097789721345,92.82907493671037,9.094947017729282e-13
5,2024/25,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.025_t400_b0,0.025,400.0,0.0,1,957,0.5762869991260277,0.9711903728667703,0.54858934169279,0.2465460432175773,0.5876773454380946,0.936183907206471,378.5803704050197,91.03633567090428,1.1641532182693481e-10
6,2025/26,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.025_t400_b0,0.025,400.0,0.0,1,961,0.5904037543756675,0.9908454602095403,0.5296566077003122,,,0.940630948522598,366.0907331640376,91.23485430790976,4.547473508864641e-13
1,2020/21,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.025_t500_b0,0.025,500.0,0.0,1,540,0.5453488929139311,0.9291610870303629,0.5796296296296296,0.2902055263141551,0.5997360770613964,0.9685563562477124,454.8756964664108,90.40017946505455,5.820766091346741e-11
2,2021/22,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.025_t500_b0,0.025,500.0,0.0,1,816,0.5820136214696616,0.9792206543533338,0.5392156862745098,0.2630751917719052,0.5935652654712064,0.9410349421897057,426.596880072291,92.12012538945056,9.094947017729282e-13
3,2022/23,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.025_t500_b0,0.025,500.0,0.0,1,804,0.5985312128077552,1.0026360677377342,0.4975124378109453,0.35637646048177407,0.6115697330569426,0.9408220534829976,446.5410567625056,88.16561195136686,4.547473508864641e-13
4,2023/24,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.025_t500_b0,0.025,500.0,0.0,1,806,0.5712708600049613,0.9635981062532613,0.543424317617866,0.32688428950117626,0.6162467066833458,0.9371053808456786,301.92898319016376,92.93096508086543,4.547473508864641e-13
5,2024/25,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.025_t500_b0,0.025,500.0,0.0,1,957,0.5762847101189615,0.9711877019751154,0.54858934169279,0.2465460432175773,0.5876773454380946,0.9361802553556673,378.4984130498956,91.03867331673712,5.820766091346741e-11
6,2025/26,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.025_t500_b0,0.025,500.0,0.0,1,961,0.5904005104091482,0.9908404797466669,0.5286160249739854,,,0.9405962559399635,366.45031538053286,91.2348453285068,9.094947017729282e-13
1,2020/21,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.025_t650_b0,0.025,650.0,0.0,1,540,0.5453412693891025,0.9291509271979634,0.5796296296296296,0.2901337423289404,0.5996881133381534,0.9685428344261969,455.10589590278505,90.53624544540494,9.094947017729282e-13
2,2021/22,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.025_t650_b0,0.025,650.0,0.0,1,816,0.5820078006247976,0.9792114729003533,0.5392156862745098,0.2630751917719052,0.5935652654712064,0.9410115043657455,426.7111047807464,92.12174387033224,5.820766091346741e-11
3,2022/23,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.025_t650_b0,0.025,650.0,0.0,1,804,0.5985217278519676,1.0026222889530223,0.4975124378109453,0.35621383994140066,0.6115193722480656,0.9407973877042991,446.8463017151423,88.15727435756915,9.094947017729282e-13
