candidate_key,alpha,tau,matches,brier_1x2,log_loss_1x2,accuracy_1x2,ranking_score,pairwise_accuracy,maximum_abs_match_delta,maximum_abs_rating_change,maximum_total_elo_error,brier_delta_vs_base,log_loss_delta_vs_base,ranking_delta_vs_base,pairwise_delta_vs_base,ranking_evaluable_folds,ranking_no_regression_folds,ranking_practical_no_regression_folds,ranking_both_improved_folds,brier_win_folds,log_loss_win_folds
goal_difference_only_a0.125_t400_b0,0.125,400.0,4884,0.5792481458261306,0.975407583226506,0.5372645372645373,0.2955822008794843,0.6016197069016475,93.60236754359704,463.9402066897055,1.1641532182693481e-10,-0.00024205276143218768,-0.00034845106949710214,0.0007713720905129784,0.00025550717809297296,5,2,5,2,6,6
goal_difference_only_a0.125_t500_b0,0.125,500.0,4884,0.57922831273126,0.9753788262445392,0.5376740376740377,0.2955082665207265,0.6015162149790365,94.11181826437239,464.9453730385844,1.1641532182693481e-10,-0.0002618858563028237,-0.00037720805146390646,0.0006974377317551794,0.00015201525548202977,5,2,5,2,6,6
goal_difference_only_a0.125_t650_b0,0.125,650.0,4884,0.5792080187315611,0.9753495120954107,0.5376740376740377,0.2957245856901995,0.6014200061735124,94.81755460780575,466.0613317546215,5.820766091346741e-11,-0.00028217985600165196,-0.0004065222005924518,0.000913756901228191,5.5806449957951365e-05,5,2,5,2,6,6
goal_difference_only_a0.125_t800_b0,0.125,800.0,4884,0.5791943365197846,0.9753298241799561,0.5372645372645373,0.29592940705100695,0.6015208622678051,95.42112880194554,466.8728144314339,1.1641532182693481e-10,-0.00029586206777820756,-0.0004262101160470433,0.0011185782620356521,0.00015666254425061865,5,3,5,3,6,6
goal_difference_only_a0.15_t100_b0,0.15,100.0,4884,0.5793696114061799,0.9755869158835897,0.5374692874692875,0.2947910442053962,0.6012595107494322,92.63777785485422,459.19792105190004,1.1641532182693481e-10,-0.00012058718138285851,-0.00016911841241340486,-1.9784583575099823e-05,-0.00010468897412230227,5,2,5,2,4,4
goal_difference_only_a0.15_t150_b0,0.15,150.0,4884,0.5793246294657544,0.9755205004061288,0.5376740376740377,0.2951346913842151,0.6014714187872442,92.66981885070457,461.0861172573991,1.1641532182693481e-10,-0.00016556912180842875,-0.00023553388987429535,0.0003238625952438068,0.0001072190636897119,5,2,5,2,4,4
goal_difference_only_a0.15_t200_b0,0.15,200.0,4884,0.5792890224199929,0.9754681867568432,0.538083538083538,0.2954069579360509,0.601551759908267,92.77544486206168,462.5301838047135,5.820766091346741e-11,-0.000201176167569872,-0.00028784753915989114,0.0005961291470795715,0.0001875601847125541,5,2,5,2,4,4
goal_difference_only_a0.15_t250_b0,0.15,250.0,4884,0.5792608405061034,0.9754269277712877,0.5374692874692875,0.2953248921925755,0.6015395870521035,92.96149769922862,463.71096458364696,1.1641532182693481e-10,-0.00022935808145940761,-0.0003291065247154057,0.0005140634036042147,0.00017538732854904815,5,2,5,2,5,4
goal_difference_only_a0.15_t300_b0,0.15,300.0,4884,0.5792383200216505,0.9753940423641667,0.5376740376740377,0.2953772147715895,0.601519502832674,93.20856765192813,464.7038955229061,1.1641532182693481e-10,-0.00025187856591224467,-0.0003619919318363918,0.0005663859826182116,0.00015530310911948675,5,2,5,2,5,5
goal_difference_only_a0.15_t400_b0,0.15,400.0,4884,0.579205050509802,0.9753456223120684,0.5374692874692875,0.29549742425318504,0.601503798261273,93.79569069531873,466.2835526572783,1.1641532182693481e-10,-0.00028514807776081064,-0.0004104119839346554,0.0006865954642137351,0.0001395985377184994,5,2,5,2,6,6
goal_difference_only_a0.15_t500_b0,0.15,500.0,4884,0.5791819985722326,0.9753122085827739,0.5378787878787878,0.29568396249996,0.6014256124048528,94.40703156024914,467.48040007629106,1.1641532182693481e-10,-0.0003082000153301623,-0.0004438257132292067,0.0008731337109886828,6.141268129833399e-05,5,2,5,2,6,6
goal_difference_only_a0.15_t650_b0,0.15,650.0,4884,0.5791585079089254,0.9752783011637699,0.5376740376740377,0.29562760219726086,0.6013777020185437,95.25391517236916,468.8089124662929,1.1641532182693481e-10,-0.0003316906786373641,-0.00047773313223320457,0.0008167734082895617,1.3502294989198305e-05,5,2,5,2,6,6
goal_difference_only_a0.15_t800_b0,0.15,800.0,4884,0.5791427600761776,0.9752556635876735,0.5374692874692875,0.2958586228076164,0.6014980908071764,95.97820420533692,469.7748713541512,5.820766091346741e-11,-0.00034743851138518966,-0.0005003707083296449,0.0010477940186450763,0.0001338910836219398,5,2,5,2,6,6
goal_difference_only_a0.175_t100_b0,0.175,100.0,4884,0.5793514630839339,0.9755616576387515,0.5372645372645373,0.29510312926339843,0.6014366647871642,92.63811553316512,460.41120476732954,1.1641532182693481e-10,-0.00013873550362886178,-0.0001943766572516381,0.0002923004744271318,7.246506360969462e-05,5,2,5,2,4,4
