candidate_model,baseline_model,competition,metric,method,matches,clusters,mean_difference,ci_95_lower,ci_95_upper,reliable_improvement,reliable_harm
ABLATION_NO_XG,CURRENT_PRODUCTION,ALL,brier_1x2,calendar_month,4884,65,0.0006737493072310056,3.587859470801042e-05,0.0013688410131701882,False,True
ABLATION_NO_XG,CURRENT_PRODUCTION,ALL,brier_1x2,conservative_envelope,4884,,0.0006737493072310056,3.587859470801042e-05,0.0013688410131701882,False,True
ABLATION_NO_XG,CURRENT_PRODUCTION,ALL,log_loss_1x2,tie_or_match,4884,1612,0.0009704703685621428,7.634238537173978e-05,0.0017738129453772878,False,True
ABLATION_NO_XG,CURRENT_PRODUCTION,ALL,log_loss_1x2,team_season,4884,1413,0.0009704703685621428,0.0004628340211644156,0.0014533676010151273,False,True
ABLATION_NO_XG,CURRENT_PRODUCTION,ALL,log_loss_1x2,calendar_month,4884,65,0.0009704703685621428,7.488915289933559e-05,0.0019527541108919477,False,True
ABLATION_NO_XG,CURRENT_PRODUCTION,ALL,log_loss_1x2,conservative_envelope,4884,,0.0009704703685621428,7.488915289933559e-05,0.0019527541108919477,False,True
ABLATION_NO_XG,CURRENT_PRODUCTION,UCL,brier_1x2,tie_or_match,1384,390,0.0012328938744072004,-4.545033101200717e-05,0.0022883222259336812,False,False
ABLATION_NO_XG,CURRENT_PRODUCTION,UCL,brier_1x2,team_season,1384,478,0.0012328938744072004,0.0005234008620094428,0.00196745796657633,False,True
ABLATION_NO_XG,CURRENT_PRODUCTION,UCL,brier_1x2,calendar_month,1384,65,0.0012328938744072004,0.0001447124429155415,0.0023613103501370605,False,True
ABLATION_NO_XG,CURRENT_PRODUCTION,UCL,brier_1x2,conservative_envelope,1384,,0.0012328938744072004,-4.545033101200717e-05,0.0023613103501370605,False,False
ABLATION_NO_XG,CURRENT_PRODUCTION,UCL,log_loss_1x2,tie_or_match,1384,390,0.001818198795100094,4.2698858421847355e-05,0.0033448168606928135,False,True
ABLATION_NO_XG,CURRENT_PRODUCTION,UCL,log_loss_1x2,team_season,1384,478,0.001818198795100094,0.0007964025354035858,0.0028785248776645282,False,True
ABLATION_NO_XG,CURRENT_PRODUCTION,UCL,log_loss_1x2,calendar_month,1384,65,0.001818198795100094,0.00027838611533527035,0.003378973547773316,False,True
ABLATION_NO_XG,CURRENT_PRODUCTION,UCL,log_loss_1x2,conservative_envelope,1384,,0.001818198795100094,4.2698858421847355e-05,0.003378973547773316,False,True
ABLATION_NO_XG,CURRENT_PRODUCTION,UEL,brier_1x2,tie_or_match,1427,441,0.000867246922401244,-0.0005560027519823245,0.0021096403421797983,False,False
ABLATION_NO_XG,CURRENT_PRODUCTION,UEL,brier_1x2,team_season,1427,538,0.000867246922401244,7.563664942037152e-05,0.001666668155756175,False,True
ABLATION_NO_XG,CURRENT_PRODUCTION,UEL,brier_1x2,calendar_month,1427,57,0.000867246922401244,-0.00045222325630794863,0.002154151038291509,False,False
ABLATION_NO_XG,CURRENT_PRODUCTION,UEL,brier_1x2,conservative_envelope,1427,,0.000867246922401244,-0.0005560027519823245,0.002154151038291509,False,False
ABLATION_NO_XG,CURRENT_PRODUCTION,UEL,log_loss_1x2,tie_or_match,1427,441,0.0012444184318307335,-0.0008665475139641817,0.003076077828832874,False,False
ABLATION_NO_XG,CURRENT_PRODUCTION,UEL,log_loss_1x2,team_season,1427,538,0.0012444184318307335,0.0001490792015034551,0.0023614018330907,False,True
ABLATION_NO_XG,CURRENT_PRODUCTION,UEL,log_loss_1x2,calendar_month,1427,57,0.0012444184318307335,-0.0006308939618645798,0.003040137135431287,False,False
ABLATION_NO_XG,CURRENT_PRODUCTION,UEL,log_loss_1x2,conservative_envelope,1427,,0.0012444184318307335,-0.0008665475139641817,0.003076077828832874,False,False
ABLATION_NO_XG,CURRENT_PRODUCTION,UECL,brier_1x2,tie_or_match,2073,792,0.00016724801547037622,-0.0003463813806470997,0.000719551505528829,False,False
ABLATION_NO_XG,CURRENT_PRODUCTION,UECL,brier_1x2,team_season,2073,864,0.00016724801547037622,-0.0001950201946108512,0.0005470238190178451,False,False
ABLATION_NO_XG,CURRENT_PRODUCTION,UECL,brier_1x2,calendar_month,2073,48,0.00016724801547037622,-0.0004648412358140656,0.0009111893715475558,False,False
ABLATION_NO_XG,CURRENT_PRODUCTION,UECL,brier_1x2,conservative_envelope,2073,,0.00016724801547037622,-0.0004648412358140656,0.0009111893715475558,False,False
ABLATION_NO_XG,CURRENT_PRODUCTION,UECL,log_loss_1x2,tie_or_match,2073,792,0.00021592139190377115,-0.0004965776520255266,0.0009835755126240409,False,False
ABLATION_NO_XG,CURRENT_PRODUCTION,UECL,log_loss_1x2,team_season,2073,864,0.00021592139190377115,-0.00029309685939583283,0.0007441740335198978,False,False
ABLATION_NO_XG,CURRENT_PRODUCTION,UECL,log_loss_1x2,calendar_month,2073,48,0.00021592139190377115,-0.0006829519553073494,0.0012491336379371891,False,False
ABLATION_NO_XG,CURRENT_PRODUCTION,UECL,log_loss_1x2,conservative_envelope,2073,,0.00021592139190377115,-0.0006829519553073494,0.0012491336379371891,False,False
ABLATION_NO_PROGRESSION,CURRENT_PRODUCTION,ALL,brier_1x2,tie_or_match,4884,1612,-2.936732415476375e-07,-4.581002263428545e-06,3.933796038053822e-06,False,False
ABLATION_NO_PROGRESSION,CURRENT_PRODUCTION,ALL,brier_1x2,team_season,4884,1413,-2.936732415476375e-07,-2.3269272169024363e-06,1.5581927746667992e-06,False,False
ABLATION_NO_PROGRESSION,CURRENT_PRODUCTION,ALL,brier_1x2,calendar_month,4884,65,-2.936732415476375e-07,-6.079478031048164e-06,5.352276893470433e-06,False,False
ABLATION_NO_PROGRESSION,CURRENT_PRODUCTION,ALL,brier_1x2,conservative_envelope,4884,,-2.936732415476375e-07,-6.079478031048164e-06,5.352276893470433e-06,False,False
ABLATION_NO_PROGRESSION,CURRENT_PRODUCTION,ALL,log_loss_1x2,tie_or_match,4884,1612,-7.650366204617118e-07,-7.740819793141475e-06,5.534884068224324e-06,False,False
ABLATION_NO_PROGRESSION,CURRENT_PRODUCTION,ALL,log_loss_1x2,team_season,4884,1413,-7.650366204617118e-07,-4.045537156379415e-06,1.965531238232006e-06,False,False
ABLATION_NO_PROGRESSION,CURRENT_PRODUCTION,ALL,log_loss_1x2,calendar_month,4884,65,-7.650366204617118e-07,-1.028196329037462e-05,8.15857425354846e-06,False,False
ABLATION_NO_PROGRESSION,CURRENT_PRODUCTION,ALL,log_loss_1x2,conservative_envelope,4884,,-7.650366204617118e-07,-1.028196329037462e-05,8.15857425354846e-06,False,False
ABLATION_NO_PROGRESSION,CURRENT_PRODUCTION,UCL,brier_1x2,tie_or_match,1384,390,1.0027303329345707e-18,-5.704291588995696e-20,2.687133518691043e-18,False,False
