win_bonus_base,ucl_prestige,uel_prestige,uecl_prestige,distance_from_reference,matches,brier,log_loss,mean_rating_change,rating_change_std,max_abs_rating_change,max_abs_match_delta,max_abs_prestige_delta,start_end_rank_correlation
2.0,1.0,0.7,0.45,0.04999999999999993,6340,0.16370458285863734,0.6219600168972039,-1.0293443721377745e-15,30.074526760050194,131.89844024865,26.902892920690014,1.7333537413386342,0.9347545827684629
2.0,1.0,0.65,0.45,0.0,6340,0.1637050462821488,0.6219604792598522,-1.8682262921559977e-16,30.043112576396865,131.62700871088043,26.807103763078153,1.7333537413386342,0.9348370011871063
2.0,1.0,0.6,0.45,0.050000000000000044,6340,0.16370554840755358,0.6219610304191208,-3.051818110163114e-16,30.01170473133142,131.3550937037213,26.711336469881054,1.7333537413386342,0.9348828932611238
2.0,1.0,0.55,0.45,0.09999999999999998,6340,0.1637060893196258,0.6219616705629576,-1.819364831263134e-16,29.980303393410523,131.08269366401896,26.61559110449953,1.7333537413386342,0.9348388743329845
2.0,1.0,0.75,0.5,0.14999999999999997,6340,0.1637074273068612,0.6219663304308101,-6.057576085735971e-16,30.12956960595971,132.16938987692902,26.998703879469492,1.7333537413386342,0.9344876594808109
2.0,1.0,0.7,0.5,0.09999999999999992,6340,0.1637078517374638,0.6219667028448533,-1.028315047589375e-15,30.09816424704179,131.89844024865,26.902892920690014,1.7333537413386342,0.9345401075654023
2.0,1.0,0.65,0.5,0.04999999999999999,6340,0.16370831478140652,0.6219671638602428,-6.123172528482306e-17,30.06676506413934,131.62700871088043,26.807103763078153,1.7333537413386342,0.93451013723135
2.0,1.0,0.6,0.5,0.10000000000000003,6340,0.16370881652331132,0.6219677136643681,-2.045675592413037e-18,30.035372223822332,131.3550937037213,26.711336469881054,1.7333537413386342,0.93453167840895
2.0,1.0,0.75,0.55,0.2,6340,0.16371071957765593,0.6219730711786308,-6.049691606206359e-16,30.15320946362756,132.16938987692902,26.998703879469492,1.7333537413386342,0.934127078899246
2.0,1.0,0.7,0.55,0.14999999999999997,6340,0.16371114363424616,0.6219734422567818,-9.063268354982738e-16,30.121819075925963,131.89844024865,26.902892920690014,1.7333537413386342,0.9343022180388633
2.0,1.0,0.65,0.55,0.10000000000000003,6340,0.16371160630025702,0.6219739019284232,-3.636056393659194e-16,30.090434868294558,131.62700871088043,26.807103763078153,1.7333537413386342,0.9343022180388633
4.0,1.0,0.65,0.35,0.10000000000000003,6340,0.1637615794171969,0.6220982253445074,2.964650140760197e-16,30.94459706934846,135.2617657546292,28.047280160374324,3.4743639709836645,0.9321827534776126
4.0,1.0,0.6,0.35,0.15000000000000008,6340,0.16376165285492317,0.6220971827700345,-2.455072138193059e-16,30.88270611585135,134.72956285589203,27.85522763985105,3.4743639709836645,0.932337288012569
4.0,1.0,0.7,0.35,0.14999999999999997,6340,0.16376165646931007,0.6220996135126086,3.5514943091889335e-16,31.00651013265036,135.79211414618908,28.239417125690014,3.4743639709836645,0.9321256225283258
4.0,1.0,0.55,0.35,0.2,6340,0.16376187744647702,0.6220964872396436,1.765486482672131e-16,30.820838469165963,134.1954932645815,27.794911767869316,3.4743639709836645,0.9323550828984124
4.0,1.0,0.75,0.35,0.2,6340,0.1637618833497857,0.6221013458325084,-3.6539072646506673e-16,31.068444135174374,136.32062016195982,28.431638044744744,3.4743639709836645,0.9320862864648821
4.0,1.0,0.65,0.4,0.04999999999999999,6340,0.16376835303361,0.6221121609835093,1.1708886881631907e-16,30.99111457333652,135.2617657546292,28.047280160374324,3.4743639709836645,0.9316030148282913
4.0,1.0,0.6,0.4,0.10000000000000003,6340,0.16376842512378612,0.622111113384355,-3.643940873188806e-16,30.929280472778863,134.72956285589203,27.85522763985105,3.4743639709836645,0.9317022915598391
4.0,1.0,0.7,0.4,0.09999999999999992,6340,0.16376843140250452,0.6221135541148834,5.149206258818607e-17,31.05297081367663,135.79211414618908,28.239417125690014,3.4743639709836645,0.9315749176401172
