season,team_id,club_id,uefa_team_id,team_name,uefa_team_name,country,country_code,identity_method,identity_source,identity_verified
2026/27,AO-UEFA-66168,AO-UEFA-66168,66168,BATE Borisov,BATE,Belarus,BLS,HISTORICAL_UEFA_REGISTRY_EXACT,/Users/buycell/Desktop/Akil Oyunu Elo/data/club_identity/club_registry.csv,True
2026/27,AO-UEFA-50161,AO-UEFA-50161,50161,Dinamo Minsk,Dinamo-Minsk,Belarus,BLS,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-2613945,AO-UEFA-2613945,2613945,ML Vitebsk,ML Vitebsk,Belarus,BLS,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-4608,AO-UEFA-4608,4608,AA Gent,Gent,Belgium,BEL,HISTORICAL_UEFA_REGISTRY_EXACT,/Users/buycell/Desktop/Akil Oyunu Elo/data/club_identity/club_registry.csv,True
2026/27,AO-UEFA-50074,AO-UEFA-50074,50074,Anderlecht,Anderlecht,Belgium,BEL,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-50043,AO-UEFA-50043,50043,Club Brugge,Club Brugge,Belgium,BEL,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-52883,AO-UEFA-52883,52883,Sint-Truiden,Sint-Truidense,Belgium,BEL,VERIFIED_UEFA_ID_OVERRIDE,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-64125,AO-UEFA-64125,64125,Union Saint-Gilloise,Union SG,Belgium,BEL,HISTORICAL_UEFA_REGISTRY_EXACT,/Users/buycell/Desktop/Akil Oyunu Elo/data/club_identity/club_registry.csv,True
2026/27,AO-UEFA-50104,AO-UEFA-50104,50104,Borac Banja Luka,Borac,Bosnia-Herzegovina,BOS,HISTORICAL_UEFA_REGISTRY_EXACT,/Users/buycell/Desktop/Akil Oyunu Elo/data/club_identity/club_registry.csv,True
2026/27,AO-UEFA-64378,AO-UEFA-64378,64378,FK Sarajevo,Sarajevo,Bosnia-Herzegovina,BOS,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-50163,AO-UEFA-50163,50163,Velez Mostar,Velež,Bosnia-Herzegovina,BOS,HISTORICAL_UEFA_REGISTRY_EXACT,/Users/buycell/Desktop/Akil Oyunu Elo/data/club_identity/club_registry.csv,True
2026/27,AO-UEFA-73390,AO-UEFA-73390,73390,Zrinjski Mostar,Zrinjski,Bosnia-Herzegovina,BOS,HISTORICAL_UEFA_REGISTRY_EXACT,/Users/buycell/Desktop/Akil Oyunu Elo/data/club_identity/club_registry.csv,True
2026/27,AO-UEFA-2610262,AO-UEFA-2610262,2610262,CSKA 1948 Sofia,CSKA 1948,Bulgaria,BUL,HISTORICAL_UEFA_REGISTRY_EXACT,/Users/buycell/Desktop/Akil Oyunu Elo/data/club_identity/club_registry.csv,True
2026/27,AO-UEFA-2608297,AO-UEFA-2608297,2608297,CSKA Sofia,CSKA Sofia,Bulgaria,BUL,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-50044,AO-UEFA-50044,50044,Levski Sofia,Levski Sofia,Bulgaria,BUL,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-2603104,AO-UEFA-2603104,2603104,Ludogorets Razgrad,Ludogorets,Bulgaria,BUL,HISTORICAL_UEFA_REGISTRY_EXACT,/Users/buycell/Desktop/Akil Oyunu Elo/data/club_identity/club_registry.csv,True
