baseline_model,candidate_model,scope,metric,method,matches,clusters,mean_difference,ci_95_lower,ci_95_upper,reliable_improvement,reliable_harm
CURRENT_AO,ML_POISSON_ENSEMBLE,ALL,brier_1x2,conservative_envelope,4884,,-0.004450114231683852,-0.006596805680595485,-0.0021961176296668916,True,False
CURRENT_AO,ML_POISSON_ENSEMBLE,ALL,log_loss_1x2,tie_or_match,4884,3502,-0.006428969035677064,-0.009622577367343814,-0.003248337931317438,True,False
CURRENT_AO,ML_POISSON_ENSEMBLE,ALL,log_loss_1x2,team_season,4884,1413,-0.006428969035677064,-0.008630379718011186,-0.00410753939778446,True,False
CURRENT_AO,ML_POISSON_ENSEMBLE,ALL,log_loss_1x2,calendar_month,4884,65,-0.006428969035677064,-0.009882424757408666,-0.0027065457023018333,True,False
CURRENT_AO,ML_POISSON_ENSEMBLE,ALL,log_loss_1x2,conservative_envelope,4884,,-0.006428969035677064,-0.009882424757408666,-0.0027065457023018333,True,False
CURRENT_AO,ML_POISSON_ENSEMBLE,competition:UCL,brier_1x2,tie_or_match,1384,1056,-0.004012373236744463,-0.008491953233481323,0.0006194176783664753,False,False
CURRENT_AO,ML_POISSON_ENSEMBLE,competition:UCL,brier_1x2,team_season,1384,478,-0.004012373236744463,-0.006949959415559101,-0.0011829563119832734,True,False
CURRENT_AO,ML_POISSON_ENSEMBLE,competition:UCL,brier_1x2,calendar_month,1384,65,-0.004012373236744463,-0.008796806074854582,0.0010977923201132582,False,False
CURRENT_AO,ML_POISSON_ENSEMBLE,competition:UCL,brier_1x2,conservative_envelope,1384,,-0.004012373236744463,-0.008796806074854582,0.0010977923201132582,False,False
CURRENT_AO,ML_POISSON_ENSEMBLE,competition:UCL,log_loss_1x2,tie_or_match,1384,1056,-0.005529817592265291,-0.012083002974457807,0.0013727569924115125,False,False
CURRENT_AO,ML_POISSON_ENSEMBLE,competition:UCL,log_loss_1x2,team_season,1384,478,-0.005529817592265291,-0.009738762317879231,-0.0012165194319952396,True,False
CURRENT_AO,ML_POISSON_ENSEMBLE,competition:UCL,log_loss_1x2,calendar_month,1384,65,-0.005529817592265291,-0.013370130779529832,0.0019578291146224443,False,False
CURRENT_AO,ML_POISSON_ENSEMBLE,competition:UCL,log_loss_1x2,conservative_envelope,1384,,-0.005529817592265291,-0.013370130779529832,0.0019578291146224443,False,False
CURRENT_AO,ML_POISSON_ENSEMBLE,competition:UECL,brier_1x2,tie_or_match,2073,1291,-0.006850836068083031,-0.009836068764897806,-0.003919752243571959,True,False
CURRENT_AO,ML_POISSON_ENSEMBLE,competition:UECL,brier_1x2,team_season,2073,864,-0.006850836068083031,-0.009024476201685526,-0.004694291938425367,True,False
CURRENT_AO,ML_POISSON_ENSEMBLE,competition:UECL,brier_1x2,calendar_month,2073,48,-0.006850836068083031,-0.00996264391432473,-0.003977528801255097,True,False
CURRENT_AO,ML_POISSON_ENSEMBLE,competition:UECL,brier_1x2,conservative_envelope,2073,,-0.006850836068083031,-0.00996264391432473,-0.003919752243571959,True,False
CURRENT_AO,ML_POISSON_ENSEMBLE,competition:UECL,log_loss_1x2,tie_or_match,2073,1291,-0.010574534442658984,-0.015412280601595097,-0.005839039086083939,True,False
CURRENT_AO,ML_POISSON_ENSEMBLE,competition:UECL,log_loss_1x2,team_season,2073,864,-0.010574534442658984,-0.01405754871973337,-0.006945818842060912,True,False
CURRENT_AO,ML_POISSON_ENSEMBLE,competition:UECL,log_loss_1x2,calendar_month,2073,48,-0.010574534442658984,-0.015626240486113045,-0.005860196078797882,True,False
CURRENT_AO,ML_POISSON_ENSEMBLE,competition:UECL,log_loss_1x2,conservative_envelope,2073,,-0.010574534442658984,-0.015626240486113045,-0.005839039086083939,True,False
CURRENT_AO,ML_POISSON_ENSEMBLE,competition:UEL,brier_1x2,tie_or_match,1427,1155,-0.0013871409802056521,-0.004959588877680364,0.0023629165393136337,False,False
CURRENT_AO,ML_POISSON_ENSEMBLE,competition:UEL,brier_1x2,team_season,1427,538,-0.0013871409802056521,-0.004052190458037793,0.0012354262635160007,False,False
CURRENT_AO,ML_POISSON_ENSEMBLE,competition:UEL,brier_1x2,calendar_month,1427,57,-0.0013871409802056521,-0.004587330247028042,0.0018761828439908972,False,False
CURRENT_AO,ML_POISSON_ENSEMBLE,competition:UEL,brier_1x2,conservative_envelope,1427,,-0.0013871409802056521,-0.004959588877680364,0.0023629165393136337,False,False
CURRENT_AO,ML_POISSON_ENSEMBLE,competition:UEL,log_loss_1x2,tie_or_match,1427,1155,-0.0012787717749961733,-0.007123063976432191,0.004612375619726301,False,False
CURRENT_AO,ML_POISSON_ENSEMBLE,competition:UEL,log_loss_1x2,team_season,1427,538,-0.0012787717749961733,-0.0054664534003893185,0.002756717329500673,False,False
CURRENT_AO,ML_POISSON_ENSEMBLE,competition:UEL,log_loss_1x2,calendar_month,1427,57,-0.0012787717749961733,-0.0065898389277653955,0.00456600177604498,False,False
CURRENT_AO,ML_POISSON_ENSEMBLE,competition:UEL,log_loss_1x2,conservative_envelope,1427,,-0.0012787717749961733,-0.007123063976432191,0.004612375619726301,False,False
CURRENT_AO,ML_POISSON_ENSEMBLE,coverage:BOTH,brier_1x2,tie_or_match,1317,1028,0.00020687422843376072,-0.0039048009669877385,0.004215154144534828,False,False
CURRENT_AO,ML_POISSON_ENSEMBLE,coverage:BOTH,brier_1x2,team_season,1317,441,0.00020687422843376072,-0.002774153249827292,0.0031697245029677686,False,False
