candidate_key,reserve_base,uel_multiplier,uecl_multiplier,stage_profile,reserve_decay,reserve_cap,matches,brier_1x2,log_loss_1x2,max_abs_match_delta,max_pair_sum_error,max_abs_rating_change,start_end_rank_correlation,max_reserve,reserve_added,trophy_added,ranking_score,pairwise_accuracy
reserve_b222.816_uel0.65_uecl0.6_knockout_ascending_d0.75,222.81639928698755,0.65,0.6,KNOCKOUT_ASCENDING,0.75,297.0885323826501,6340,0.5807300197137181,0.9775819839065012,97.11294785556315,9.094947017729282e-13,759.0048612771393,0.9347869591947483,297.0885323826501,49395.88489256452,555.8059535748828,0.30298932087001873,0.6052677810722611
reserve_b222.816_uel0.65_uecl0.6_knockout_ascending_d1,222.81639928698755,0.65,0.6,KNOCKOUT_ASCENDING,1.0,297.0885323826501,6340,0.5863531320216808,0.9868005178756742,98.78307579417134,9.094947017729282e-13,772.6202718216709,0.9346472337057542,297.0885323826501,43585.607587093094,472.4641952104385,0.2993559287707864,0.6040906154556862
reserve_b222.816_uel0.65_uecl0.6_late_balanced_d0.25,222.81639928698755,0.65,0.6,LATE_BALANCED,0.25,297.0885323826501,6340,0.5757905380276577,0.9701612901507611,95.45811555806682,9.094947017729282e-13,707.7025343866039,0.935382325955073,297.0885323826501,23326.67914164294,860.3706630526027,0.3087151787749629,0.6067851441928604
reserve_b222.816_uel0.65_uecl0.6_late_balanced_d0.5,222.81639928698755,0.65,0.6,LATE_BALANCED,0.5,297.0885323826501,6340,0.5761650504967274,0.9708344069841056,96.13977368661754,9.094947017729282e-13,718.4857780408706,0.9356224351454121,297.0885323826501,22586.430385681182,815.786135074538,0.30922158841385466,0.6069118484046474
reserve_b222.816_uel0.65_uecl0.6_late_balanced_d0.75,222.81639928698755,0.65,0.6,LATE_BALANCED,0.75,297.0885323826501,6340,0.5773263039271188,0.97289463042218,97.0227336340725,9.094947017729282e-13,734.3700127745565,0.9367837237009682,297.0885323826501,20951.513883866028,706.8935600039927,0.30914719853472344,0.6069121258027678
reserve_b222.816_uel0.65_uecl0.6_late_balanced_d1,222.81639928698755,0.65,0.6,LATE_BALANCED,1.0,297.0885323826501,6340,0.5803836682665757,0.9783832559671382,98.80005836886191,9.094947017729282e-13,744.9093761059398,0.9387630268365385,297.0885323826501,17030.143057496352,556.5507409900854,0.30841096445631266,0.6068520410410791
reserve_b222.816_uel0.65_uecl0.6_late_strict_d0.25,222.81639928698755,0.65,0.6,LATE_STRICT,0.25,297.0885323826501,6340,0.5756684194040653,0.9699950431185701,95.27311449892301,9.094947017729282e-13,667.6766423246845,0.9362371777311054,297.0885323826501,16622.358903595003,938.3302635449909,0.30868646416494194,0.60667791252983
reserve_b222.816_uel0.65_uecl0.6_late_strict_d0.5,222.81639928698755,0.65,0.6,LATE_STRICT,0.5,297.0885323826501,6340,0.5758897060767103,0.9704301410290536,95.74968657751194,9.094947017729282e-13,675.583312440674,0.9366361578031748,297.0885323826501,16168.501118323722,928.2154045314918,0.30888878678682496,0.606758272900547
reserve_b222.816_uel0.65_uecl0.6_late_strict_d0.75,222.81639928698755,0.65,0.6,LATE_STRICT,0.75,297.0885323826501,6340,0.5766973951874635,0.9719284895598673,96.32429520259154,9.094947017729282e-13,687.3301144503912,0.9369717940173553,297.0885323826501,15137.699638444705,859.4363538702577,0.30902303297886996,0.6067450222550119
reserve_b222.816_uel0.65_uecl0.6_late_strict_d1,222.81639928698755,0.65,0.6,LATE_STRICT,1.0,297.0885323826501,6340,0.5789344358201048,0.9760255250137009,98.04706854443096,9.094947017729282e-13,703.0689501454085,0.9381613844166395,297.0885323826501,12468.841988607504,780.7336235241676,0.30857079362437506,0.6066984075999796
reserve_b222.816_uel0.65_uecl0.6_semifinal_heavy_d0.25,222.81639928698755,0.65,0.6,SEMIFINAL_HEAVY,0.25,297.0885323826501,6340,0.5757745896693529,0.9701428696695943,95.36166768829018,9.094947017729282e-13,703.934333409919,0.9360405720624283,297.0885323826501,20102.831432678162,865.2292371580488,0.30869484512208717,0.6067183652988393
reserve_b222.816_uel0.65_uecl0.6_semifinal_heavy_d0.5,222.81639928698755,0.65,0.6,SEMIFINAL_HEAVY,0.5,297.0885323826501,6340,0.5760960710847498,0.9707340067209266,95.93561194812484,9.094947017729282e-13,713.7356220412216,0.9360999146379874,297.0885323826501,19458.713343316227,824.846050873274,0.309309791809757,0.6068718922518993
reserve_b222.816_uel0.65_uecl0.6_semifinal_heavy_d0.75,222.81639928698755,0.65,0.6,SEMIFINAL_HEAVY,0.75,297.0885323826501,6340,0.5770991316529595,0.9725366697279267,96.65344555944661,9.094947017729282e-13,728.3495829163026,0.9369197551434035,297.0885323826501,18094.463112574223,764.138881497252,0.3093921199043262,0.6069114257201128
reserve_b222.816_uel0.65_uecl0.6_semifinal_heavy_d1,222.81639928698755,0.65,0.6,SEMIFINAL_HEAVY,1.0,297.0885323826501,6340,0.5797762091807316,0.9773619919082134,98.3082269157679,9.094947017729282e-13,744.4959384061126,0.9384690528468459,297.0885323826501,14900.436675334411,620.3670900850292,0.30861289424652283,0.6067650950537175
reserve_b222.816_uel0.8_uecl0.25_flat_d0.25,222.81639928698755,0.8,0.25,FLAT,0.25,297.0885323826501,6340,0.5863392301797359,0.9850182247246168,95.67210131035955,9.094947017729282e-13,786.7217415959917,0.8932551351370843,297.0885323826501,123500.26627157073,304.68552159593355,0.2964531193122667,0.6027093383148028
reserve_b222.816_uel0.8_uecl0.25_flat_d0.5,222.81639928698755,0.8,0.25,FLAT,0.5,297.0885323826501,6340,0.5878546010953949,0.9873572036992726,96.15738472184493,9.094947017729282e-13,786.8747751322085,0.8929170895991952,297.0885323826501,117825.50460671078,231.10489335696127,0.293556831851247,0.6021016356576913
reserve_b222.816_uel0.8_uecl0.25_flat_d0.75,222.81639928698755,0.8,0.25,FLAT,0.75,297.0885323826501,6340,0.5910315295827862,0.9925062914162296,97.5560817744513,9.094947017729282e-13,789.881993955034,0.8920363682911482,297.0885323826501,106273.06487948721,210.83423770709067,0.28879204849791457,0.6001416565276643
reserve_b222.816_uel0.8_uecl0.25_flat_d1,222.81639928698755,0.8,0.25,FLAT,1.0,297.0885323826501,6340,0.5944048253129834,0.9985646377784313,98.6267428012403,9.094947017729282e-13,787.8048628228289,0.890483161726394,297.0885323826501,79784.03888080755,161.6721354115193,0.28582472804068076,0.5985793490188163
reserve_b222.816_uel0.8_uecl0.25_gentle_ascending_d0.25,222.81639928698755,0.8,0.25,GENTLE_ASCENDING,0.25,297.0885323826501,6340,0.5801024470491524,0.9761663951424019,95.31005106563875,9.094947017729282e-13,753.5717833609838,0.9188230967134764,297.0885323826501,77333.64566746747,206.39273504155682,0.30194323944508455,0.604459725114244
reserve_b222.816_uel0.8_uecl0.25_gentle_ascending_d0.5,222.81639928698755,0.8,0.25,GENTLE_ASCENDING,0.5,297.0885323826501,6340,0.5814977051761696,0.9782219607301733,95.58792660980477,9.094947017729282e-13,763.9551033882094,0.9177440553565344,297.0885323826501,75312.70916683938,181.03710983081544,0.2998357459855559,0.6041578755794966
reserve_b222.816_uel0.8_uecl0.25_gentle_ascending_d0.75,222.81639928698755,0.8,0.25,GENTLE_ASCENDING,0.75,297.0885323826501,6340,0.5851600417026679,0.983902288177862,96.97702584696188,9.094947017729282e-13,774.1022833781776,0.9169579867990963,297.0885323826501,71025.5540650484,144.6112849339084,0.2966349187625937,0.6031149062812269
reserve_b222.816_uel0.8_uecl0.25_gentle_ascending_d1,222.81639928698755,0.8,0.25,GENTLE_ASCENDING,1.0,297.0885323826501,6340,0.5910660506406695,0.9936539464761516,99.23196142103868,9.094947017729282e-13,775.8699846994514,0.915509348987396,297.0885323826501,58353.65311377606,98.85642431524832,0.29208350140803685,0.6011410925837737
reserve_b222.816_uel0.8_uecl0.25_knockout_ascending_d0.25,222.81639928698755,0.8,0.25,KNOCKOUT_ASCENDING,0.25,297.0885323826501,6340,0.5775745630017792,0.9726208040798735,95.13283733547281,9.094947017729282e-13,736.2799324911362,0.9327785179723037,297.0885323826501,47926.33432976615,431.4004448786224,0.30608533811621924,0.6060160395063036
reserve_b222.816_uel0.8_uecl0.25_knockout_ascending_d0.5,222.81639928698755,0.8,0.25,KNOCKOUT_ASCENDING,0.5,297.0885323826501,6340,0.5783375768087964,0.9737822971317107,95.4529032625969,9.094947017729282e-13,745.7457746241967,0.9328650576300033,297.0885323826501,46930.87783710497,363.99226566892565,0.3051200686606509,0.6058608403102554
reserve_b222.816_uel0.8_uecl0.25_knockout_ascending_d0.75,222.81639928698755,0.8,0.25,KNOCKOUT_ASCENDING,0.75,297.0885323826501,6340,0.5806363840288988,0.9773952402293876,96.45247034254083,9.094947017729282e-13,757.6088190642263,0.9325044757229217,297.0885323826501,44764.83802847867,295.486333575323,0.30305002810624443,0.6049447083122199
reserve_b222.816_uel0.8_uecl0.25_knockout_ascending_d1,222.81639928698755,0.8,0.25,KNOCKOUT_ASCENDING,1.0,297.0885323826501,6340,0.5865376628926997,0.9869936583241715,98.33282043415947,9.094947017729282e-13,769.0553947160911,0.9315795831312573,297.0885323826501,39140.078672349104,249.23857177903156,0.29908563613096556,0.603619661640472
reserve_b222.816_uel0.8_uecl0.25_late_balanced_d0.25,222.81639928698755,0.8,0.25,LATE_BALANCED,0.25,297.0885323826501,6340,0.5758251059734543,0.9702069625526105,95.0923297263253,9.094947017729282e-13,719.7604194735227,0.9366486052212336,297.0885323826501,22520.821212036404,486.12310783193135,0.3081513270372005,0.6066313879321027
reserve_b222.816_uel0.8_uecl0.25_late_balanced_d0.5,222.81639928698755,0.8,0.25,LATE_BALANCED,0.5,297.0885323826501,6340,0.5761794353343667,0.9708383117911434,95.47226603284416,9.094947017729282e-13,726.3082034878366,0.9368056348057898,297.0885323826501,21739.38918639396,439.8383999879254,0.3086862353520305,0.6067380316450951
reserve_b222.816_uel0.8_uecl0.25_late_balanced_d0.75,222.81639928698755,0.8,0.25,LATE_BALANCED,0.75,297.0885323826501,6340,0.5773256020451476,0.9728452531891174,96.203491863805,9.094947017729282e-13,733.883018799937,0.9375843919896653,297.0885323826501,20025.73572564495,361.9114479756388,0.30874718126766143,0.6067516479858546
reserve_b222.816_uel0.8_uecl0.25_late_balanced_d1,222.81639928698755,0.8,0.25,LATE_BALANCED,1.0,297.0885323826501,6340,0.5804734514446973,0.9784611369582012,98.92483706509704,9.094947017729282e-13,742.5103891001704,0.9392154796775383,297.0885323826501,16056.544693868356,313.9163008956003,0.30830815816307217,0.6066848581285184
reserve_b222.816_uel0.8_uecl0.25_late_strict_d0.25,222.81639928698755,0.8,0.25,LATE_STRICT,0.25,297.0885323826501,6340,0.5756658448105542,0.9699902330822197,95.00761993612593,9.094947017729282e-13,721.8485339964632,0.9368347112662702,297.0885323826501,16093.800360771214,732.1696925852058,0.3080056489878134,0.606504656018241
reserve_b222.816_uel0.8_uecl0.25_late_strict_d0.5,222.81639928698755,0.8,0.25,LATE_STRICT,0.5,297.0885323826501,6340,0.5758620761471789,0.9703777344850134,95.24849377006068,9.094947017729282e-13,726.7771533063028,0.9373273486322525,297.0885323826501,15602.224784827642,681.3310633132108,0.3082543819448899,0.6065577439221814
reserve_b222.816_uel0.8_uecl0.25_late_strict_d0.75,222.81639928698755,0.8,0.25,LATE_STRICT,0.75,297.0885323826501,6340,0.5766666854490355,0.9718503362828974,95.69817052107823,9.094947017729282e-13,734.0098228851061,0.9378226752546024,297.0885323826501,14477.39242187329,634.1571853128062,0.3082358020283623,0.6064979462412314
reserve_b222.816_uel0.8_uecl0.25_late_strict_d1,222.81639928698755,0.8,0.25,LATE_STRICT,1.0,297.0885323826501,6340,0.5790018068596646,0.9761000292768788,98.11863947647564,9.094947017729282e-13,743.2145979171296,0.9386479164764254,297.0885323826501,11684.387787201053,562.971436527998,0.30794768404061656,0.6065052268221338
reserve_b222.816_uel0.8_uecl0.25_semifinal_heavy_d0.25,222.81639928698755,0.8,0.25,SEMIFINAL_HEAVY,0.25,297.0885323826501,6340,0.5757876425325412,0.9701568330429113,95.04817385882593,9.094947017729282e-13,720.7178103259034,0.9366670647101659,297.0885323826501,19389.1457830379,495.2665839312974,0.30805034973856227,0.606544809108117
reserve_b222.816_uel0.8_uecl0.25_semifinal_heavy_d0.5,222.81639928698755,0.8,0.25,SEMIFINAL_HEAVY,0.5,297.0885323826501,6340,0.5760804646343486,0.9706933619191496,95.35286013818894,9.094947017729282e-13,726.5498601331678,0.9369663162411499,297.0885323826501,18711.736379966904,470.7770131404152,0.3084452446484634,0.6065844858211482
reserve_b222.816_uel0.8_uecl0.25_semifinal_heavy_d0.75,222.81639928698755,0.8,0.25,SEMIFINAL_HEAVY,0.75,297.0885323826501,6340,0.5770459848147272,0.9724113680859677,95.90249673603529,9.094947017729282e-13,733.9584865095917,0.9378637585761433,297.0885323826501,17282.84789687585,408.0139487568274,0.30883437329533947,0.6066975239977109
reserve_b222.816_uel0.8_uecl0.25_semifinal_heavy_d1,222.81639928698755,0.8,0.25,SEMIFINAL_HEAVY,1.0,297.0885323826501,6340,0.5797181184610598,0.9771910218659071,98.40125412850112,9.094947017729282e-13,743.0082066638138,0.9389273601227021,297.0885323826501,14018.620756870467,335.619876438333,0.30849909333112535,0.6067051552518359
reserve_b222.816_uel0.8_uecl0.45_flat_d0.25,222.81639928698755,0.8,0.45,FLAT,0.25,297.0885323826501,6340,0.5868347405837709,0.9857041300043169,95.67210131035955,9.094947017729282e-13,786.7217415959917,0.8932551351370843,297.0885323826501,138871.40874161062,350.5820780779919,0.2966257479937661,0.6027633214651019
reserve_b222.816_uel0.8_uecl0.45_flat_d0.5,222.81639928698755,0.8,0.45,FLAT,0.5,297.0885323826501,6340,0.5884022334924539,0.9881399112210651,96.16084075140782,9.094947017729282e-13,786.8747751322085,0.8929170895991952,297.0885323826501,132430.75432341435,292.94894101965326,0.2935450334225349,0.6021357526574505
reserve_b222.816_uel0.8_uecl0.45_flat_d0.75,222.81639928698755,0.8,0.45,FLAT,0.75,297.0885323826501,6340,0.5913215689030366,0.9929313653303313,97.56964765647935,9.094947017729282e-13,789.881993955034,0.8920363682911482,297.0885323826501,119021.45199978982,200.09014111326042,0.2894395050617475,0.6003152099402403
