country_code,sportsdb_league_id,league_name,provider_season,schedule_matches,table_expected_matches,coverage_rate,unique_events,unique_teams,timestamps_valid,scores_valid,quality_status,quality_reason,error_detail,source_selection,source_provider,format_expectation_method
ENG,4328,English Premier League,2013-2014,380,380.0,1.0,380,20,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
ENG,4328,English Premier League,2014-2015,380,380.0,1.0,380,20,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
ENG,4328,English Premier League,2015-2016,380,380.0,1.0,380,20,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
ENG,4328,English Premier League,2016-2017,380,380.0,1.0,380,20,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
ENG,4328,English Premier League,2017-2018,380,380.0,1.0,380,20,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
ENG,4328,English Premier League,2018-2019,380,380.0,1.0,380,20,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
ENG,4328,English Premier League,2019-2020,380,380.0,1.0,380,20,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
ENG,4328,English Premier League,2020-2021,380,380.0,1.0,380,20,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
ENG,4328,English Premier League,2021-2022,380,380.0,1.0,380,20,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
ENG,4328,English Premier League,2022-2023,380,380.0,1.0,380,20,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
ENG,4328,English Premier League,2023-2024,380,380.0,1.0,380,20,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
ENG,4328,English Premier League,2024-2025,380,380.0,1.0,380,20,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
ENG,4328,English Premier League,2025-2026,380,380.0,1.0,380,20,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
ESP,4335,Spanish La Liga,2013-2014,368,380.0,0.968421052631579,368,20,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
ESP,4335,Spanish La Liga,2014-2015,380,380.0,1.0,380,20,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
ESP,4335,Spanish La Liga,2015-2016,380,380.0,1.0,380,20,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
ESP,4335,Spanish La Liga,2016-2017,380,380.0,1.0,380,20,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
ESP,4335,Spanish La Liga,2017-2018,380,229.0,1.6593886462882097,380,20,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
ESP,4335,Spanish La Liga,2018-2019,380,380.0,1.0,380,20,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
ESP,4335,Spanish La Liga,2019-2020,380,380.0,1.0,380,20,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
ESP,4335,Spanish La Liga,2020-2021,380,380.0,1.0,380,20,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
ESP,4335,Spanish La Liga,2021-2022,380,380.0,1.0,380,20,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
ESP,4335,Spanish La Liga,2022-2023,380,380.0,1.0,380,20,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
ESP,4335,Spanish La Liga,2023-2024,380,380.0,1.0,380,20,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
ESP,4335,Spanish La Liga,2024-2025,380,380.0,1.0,380,20,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
ESP,4335,Spanish La Liga,2025-2026,380,380.0,1.0,380,20,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
FRA,4334,French Ligue 1,2013-2014,380,380.0,1.0,380,20,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
FRA,4334,French Ligue 1,2014-2015,380,380.0,1.0,380,20,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
FRA,4334,French Ligue 1,2015-2016,342,380.0,0.9,342,19,True,True,REJECTED,TABLE_COVERAGE_BELOW_95_PCT,,EXISTING_ACCEPTED,,
FRA,4334,French Ligue 1,2016-2017,381,422.0,0.9028436018957346,381,20,True,True,REJECTED,TABLE_COVERAGE_BELOW_95_PCT,,EXISTING_ACCEPTED,,
FRA,4334,French Ligue 1,2017-2018,380,249.0,1.5261044176706828,380,20,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
FRA,4334,French Ligue 1,2018-2019,380,380.0,1.0,380,20,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
FRA,4334,French Ligue 1,2019-2020,279,270.0,1.0333333333333334,279,20,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
FRA,4334,French Ligue 1,2020-2021,382,380.0,1.0052631578947369,382,21,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
FRA,4334,French Ligue 1,2021-2022,382,380.0,1.0052631578947369,382,21,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
FRA,4334,French Ligue 1,2022-2023,380,380.0,1.0,380,20,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
FRA,4334,French Ligue 1,2023-2024,308,306.0,1.0065359477124185,308,19,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
FRA,4334,French Ligue 1,2024-2025,308,306.0,1.0065359477124185,308,19,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
FRA,4334,French Ligue 1,2025-2026,310,305.0,1.0163934426229508,310,21,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
GER,4331,German Bundesliga,2013-2014,306,306.0,1.0,306,18,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
GER,4331,German Bundesliga,2014-2015,306,306.0,1.0,306,18,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
GER,4331,German Bundesliga,2015-2016,306,306.0,1.0,306,18,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
GER,4331,German Bundesliga,2016-2017,306,306.0,1.0,306,18,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
GER,4331,German Bundesliga,2017-2018,306,198.0,1.5454545454545454,306,18,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
GER,4331,German Bundesliga,2018-2019,306,306.0,1.0,306,18,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
GER,4331,German Bundesliga,2019-2020,307,306.0,1.0032679738562091,307,19,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
GER,4331,German Bundesliga,2020-2021,308,306.0,1.0065359477124185,308,19,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
GER,4331,German Bundesliga,2021-2022,308,306.0,1.0065359477124185,308,19,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
GER,4331,German Bundesliga,2022-2023,308,306.0,1.0065359477124185,308,19,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
GER,4331,German Bundesliga,2023-2024,308,306.0,1.0065359477124185,308,19,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
GER,4331,German Bundesliga,2024-2025,308,306.0,1.0065359477124185,308,19,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
GER,4331,German Bundesliga,2025-2026,308,306.0,1.0065359477124185,308,19,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
GRE,4336,Greek Super League 1,2013-2014,0,,,0,0,False,False,REJECTED,FETCH_OR_PARSE_ERROR:ValueError,Offline cache is missing: /Users/buycell/Desktop/Akil Oyunu Elo/data/domestic_league_matches_2013_2026/_source_cache/table/GRE/2013-2014.json,EXISTING_ACCEPTED,,
GRE,4336,Greek Super League 1,2014-2015,0,,,0,0,False,False,REJECTED,FETCH_OR_PARSE_ERROR:ValueError,Offline cache is missing: /Users/buycell/Desktop/Akil Oyunu Elo/data/domestic_league_matches_2013_2026/_source_cache/table/GRE/2014-2015.json,EXISTING_ACCEPTED,,
GRE,4336,Greek Super League 1,2015-2016,0,,,0,0,False,False,REJECTED,FETCH_OR_PARSE_ERROR:ValueError,Offline cache is missing: /Users/buycell/Desktop/Akil Oyunu Elo/data/domestic_league_matches_2013_2026/_source_cache/table/GRE/2015-2016.json,EXISTING_ACCEPTED,,
GRE,4336,Greek Super League 1,2016-2017,0,,,0,0,False,False,REJECTED,FETCH_OR_PARSE_ERROR:ValueError,Offline cache is missing: /Users/buycell/Desktop/Akil Oyunu Elo/data/domestic_league_matches_2013_2026/_source_cache/table/GRE/2016-2017.json,EXISTING_ACCEPTED,,
GRE,4336,Greek Super League 1,2017-2018,0,,,0,0,False,False,REJECTED,FETCH_OR_PARSE_ERROR:ValueError,Offline cache is missing: /Users/buycell/Desktop/Akil Oyunu Elo/data/domestic_league_matches_2013_2026/_source_cache/table/GRE/2017-2018.json,EXISTING_ACCEPTED,,
GRE,4336,Greek Super League 1,2018-2019,0,,,0,0,False,False,REJECTED,FETCH_OR_PARSE_ERROR:ValueError,Offline cache is missing: /Users/buycell/Desktop/Akil Oyunu Elo/data/domestic_league_matches_2013_2026/_source_cache/table/GRE/2018-2019.json,EXISTING_ACCEPTED,,
GRE,4336,Greek Super League 1,2019-2020,0,,,0,0,False,False,REJECTED,FETCH_OR_PARSE_ERROR:ValueError,Offline cache is missing: /Users/buycell/Desktop/Akil Oyunu Elo/data/domestic_league_matches_2013_2026/_source_cache/table/GRE/2019-2020.json,EXISTING_ACCEPTED,,
GRE,4336,Greek Super League 1,2020-2021,242,182.0,1.3296703296703296,242,15,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
GRE,4336,Greek Super League 1,2021-2022,242,182.0,1.3296703296703296,242,15,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
GRE,4336,Greek Super League 1,2022-2023,240,182.0,1.3186813186813189,240,14,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
GRE,4336,Greek Super League 1,2023-2024,240,182.0,1.3186813186813189,240,14,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
GRE,4336,Greek Super League 1,2024-2025,236,182.0,1.2967032967032968,236,14,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
GRE,4336,Greek Super League 1,2025-2026,236,182.0,1.2967032967032968,236,14,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
ISR,4644,Israeli Premier League,2013-2014,0,,,0,0,False,False,REJECTED,FETCH_OR_PARSE_ERROR:ValueError,Offline cache is missing: /Users/buycell/Desktop/Akil Oyunu Elo/data/domestic_league_matches_2013_2026/_source_cache/table/ISR/2013-2014.json,EXISTING_ACCEPTED,,
ISR,4644,Israeli Premier League,2014-2015,0,,,0,0,False,False,REJECTED,FETCH_OR_PARSE_ERROR:ValueError,Offline cache is missing: /Users/buycell/Desktop/Akil Oyunu Elo/data/domestic_league_matches_2013_2026/_source_cache/table/ISR/2014-2015.json,EXISTING_ACCEPTED,,
ISR,4644,Israeli Premier League,2015-2016,0,,,0,0,False,False,REJECTED,FETCH_OR_PARSE_ERROR:ValueError,Offline cache is missing: /Users/buycell/Desktop/Akil Oyunu Elo/data/domestic_league_matches_2013_2026/_source_cache/table/ISR/2015-2016.json,EXISTING_ACCEPTED,,
