country_code,source_team_id,source_club_key,source_team_name,ao_club_id,identity_method,identity_score,runner_up_score,identity_ambiguous
AZB,135702,THESPORTSDB:135702,Qarabag FK,AO-UEFA-60609,EXACT_NAME,1.0,1.0,False
AZB,138335,THESPORTSDB:138335,Gabala FK,AO-UEFA-93628,EXACT_NAME,1.0,1.0,False
AZB,138336,THESPORTSDB:138336,Keşla FK,AO-UEFA-74072,EXACT_NAME,1.0,1.0,False
AZB,138337,THESPORTSDB:138337,Neftçi PFK,,NO_AO_COUNTERPART,0.7272727272727273,0.2608695652173913,False
AZB,138338,THESPORTSDB:138338,Sabail FK,AO-UEFA-2608569,EXACT_NAME,1.0,1.0,False
AZB,138339,THESPORTSDB:138339,Sumgayit FK,AO-UEFA-2603921,EXACT_NAME,1.0,1.0,False
AZB,138340,THESPORTSDB:138340,Zira FK,AO-UEFA-2607480,EXACT_NAME,1.0,1.0,False
AZB,138341,THESPORTSDB:138341,Sabah FC,AO-UEFA-2609356,EXACT_NAME,1.0,1.0,False
AZB,140696,THESPORTSDB:140696,Kapaz,,NO_AO_COUNTERPART,0.4,0.4,False
AZB,140704,THESPORTSDB:140704,Turan Tovuz,,NO_AO_COUNTERPART,0.42105263157894735,0.4166666666666667,False
AZB,146881,THESPORTSDB:146881,İmişli,,NO_AO_COUNTERPART,0.36363636363636365,0.3333333333333333,False
AZB,146882,THESPORTSDB:146882,Mingəçevir,,NO_AO_COUNTERPART,0.2857142857142857,0.2608695652173913,False
AZB,146883,THESPORTSDB:146883,Araz,,NO_AO_COUNTERPART,0.5454545454545454,0.5,False
AZB,149534,THESPORTSDB:149534,Karvan,,NO_AO_COUNTERPART,0.5263157894736842,0.46153846153846156,False
AZB,HF:1268,THESPORTSDB:HF:1268,Qarabag,AO-UEFA-60609,EXACT_NAME,1.0,1.0,False
AZB,HF:1269,THESPORTSDB:HF:1269,Zira,AO-UEFA-2607480,EXACT_NAME,1.0,1.0,False
AZB,HF:1270,THESPORTSDB:HF:1270,Səbail,,NO_AO_COUNTERPART,0.8333333333333334,0.5454545454545454,False
AZB,HF:1271,THESPORTSDB:HF:1271,Neftchi Baku,AO-UEFA-59890,EXACT_NAME,1.0,1.0,False
AZB,HF:1273,THESPORTSDB:HF:1273,Sumqayıt,AO-UEFA-2603921,EXACT_NAME,1.0,1.0,False
AZB,HF:1274,THESPORTSDB:HF:1274,Kapaz,,NO_AO_COUNTERPART,0.4,0.4,False
