fold,test_season,competition,model,elo_scale,home_advantage,spread_multiplier,matches,log_loss,brier,mean_expected_home_score,mean_actual_home_score
5,2024/25,ALL,baseline,400.0,70.0,1.0,957,0.6339147577311238,0.17405949262485293,0.5947005449149739,0.5966562173458725
5,2024/25,ALL,joint,300.0,50.0,1.3333333333333333,957,0.6308210608382371,0.17267497743106558,0.5873724076668626,0.5966562173458725
5,2024/25,ALL,spread_only,350.0,70.0,1.1428571428571428,957,0.6321447241573842,0.17332809480227152,0.6064580824452567,0.5966562173458725
5,2024/25,UCL,baseline,400.0,70.0,1.0,279,0.6252963895862377,0.1783506770406056,0.5944289014876121,0.5770609318996416
5,2024/25,UCL,joint,300.0,50.0,1.3333333333333333,279,0.6172783622053599,0.17487642171037493,0.5868428247367812,0.5770609318996416
5,2024/25,UCL,spread_only,350.0,70.0,1.1428571428571428,279,0.6226177533878205,0.17735085376576276,0.6060016716673606,0.5770609318996416
5,2024/25,UEL,baseline,400.0,70.0,1.0,269,0.6418037595986806,0.17378904386685154,0.5932316167572647,0.604089219330855
5,2024/25,UEL,joint,300.0,50.0,1.3333333333333333,269,0.6454520212594027,0.17509761729531637,0.585123359209627,0.604089219330855
5,2024/25,UEL,spread_only,350.0,70.0,1.1428571428571428,269,0.6421427998310201,0.17372776579804866,0.6044204396725068,0.604089219330855
5,2024/25,UECL,baseline,400.0,70.0,1.0,409,0.6346051812275797,0.17131012896692474,0.5958519634740396,0.6051344743276283
5,2024/25,UECL,joint,300.0,50.0,1.3333333333333333,409,0.6304364265235162,0.16957988433226173,0.5892128665238043,0.6051344743276283
5,2024/25,UECL,spread_only,350.0,70.0,1.1428571428571428,409,0.6320678109263331,0.17032109908423224,0.6081095849217911,0.6051344743276283
6,2025/26,ALL,baseline,400.0,70.0,1.0,961,0.6473150758649365,0.179007608936248,0.5947834450766344,0.5863683662851197
6,2025/26,ALL,joint,300.0,50.0,1.3333333333333333,961,0.6470233564884891,0.17892792974953795,0.5874555294604142,0.5863683662851197
6,2025/26,ALL,spread_only,350.0,70.0,1.1428571428571428,961,0.6474337187182004,0.17916145658242374,0.6065508551230337,0.5863683662851197
6,2025/26,UCL,baseline,400.0,70.0,1.0,281,0.6268388111525041,0.1713228210626921,0.5944153404739219,0.5960854092526691
6,2025/26,UCL,joint,300.0,50.0,1.3333333333333333,281,0.6220649230694916,0.16934515667626307,0.5868658586799875,0.5960854092526691
6,2025/26,UCL,spread_only,350.0,70.0,1.1428571428571428,281,0.6243241684562629,0.17035110141513907,0.6060224293286065,0.5960854092526691
6,2025/26,UEL,baseline,400.0,70.0,1.0,271,0.6573153960959671,0.18515347109201247,0.5940681157021627,0.5793357933579336
6,2025/26,UEL,joint,300.0,50.0,1.3333333333333333,271,0.6603484622348148,0.18669487647985808,0.586326144319986,0.5793357933579336
6,2025/26,UEL,spread_only,350.0,70.0,1.1428571428571428,271,0.6591902592960397,0.1861422156621137,0.6055814669262166,0.5793357933579336
6,2025/26,UECL,baseline,400.0,70.0,1.0,409,0.6547569917612308,0.180215180447879,0.5955103195359107,0.5843520782396088
6,2025/26,UECL,joint,300.0,50.0,1.3333333333333333,409,0.655341733342973,0.18036537881964423,0.5886089790016271,0.5843520782396088
6,2025/26,UECL,spread_only,350.0,70.0,1.1428571428571428,409,0.6555211542365624,0.1805891438474874,0.6075562141684406,0.5843520782396088
