progression_ratio,ucl_prestige,uel_prestige,uecl_prestige,distance_from_reference,matches,progression_events,brier,log_loss,mean_rating_change,rating_change_std,max_abs_rating_change,max_abs_match_delta,max_abs_progression_delta,start_end_rank_correlation
0.75,1.0,0.65,0.35,0.10000000000000003,6340,2106,0.16456182703539365,0.6238266456412064,-6.926312975160395e-16,33.64216383106025,147.81969278353495,25.45474312935145,17.702407031799755,0.9248521970830439
0.75,1.0,0.6,0.45,0.050000000000000044,6340,2106,0.16458279421106203,0.6238684723046298,-5.724609697668538e-16,33.74308592240499,145.84297750725773,25.459169223164572,17.702407031799755,0.9234201770591143
0.75,1.0,0.65,0.4,0.04999999999999999,6340,2106,0.1645833213940082,0.6238707998285534,-5.703956941171684e-16,33.77049901498813,147.81969278353495,25.45474312935145,17.702407031799755,0.923770455338349
0.75,1.0,0.7,0.35,0.14999999999999997,6340,2106,0.16458547985088565,0.6238769563580452,-5.750279341863533e-16,33.80418306010577,150.20481881093485,25.454863103870967,17.702407031799755,0.9248512605101047
0.75,1.0,0.65,0.45,0.0,6340,2106,0.1646056038405357,0.6239167633769126,-6.308586274265801e-16,33.901759640851495,147.81969278353495,25.45474312935145,17.702407031799755,0.9234660691331317
0.75,1.0,0.6,0.5,0.10000000000000003,6340,2106,0.16460580373969208,0.6239161156527139,-6.91869132093515e-16,33.87755890393491,145.84297750725773,25.459169223164572,17.702407031799755,0.9224105514307324
0.75,1.0,0.7,0.4,0.09999999999999992,6340,2106,0.16460703463525755,0.6239212391913225,-5.15581128239845e-16,33.93216662282413,150.20481881093485,25.454863103870967,17.702407031799755,0.9238584931946271
0.75,1.0,0.75,0.35,0.2,6340,2106,0.16461009669738003,0.6239295422776862,-9.04568366451228e-17,33.96879138402278,152.59092724719994,25.454988547427792,17.702407031799755,0.9240298994517353
0.75,1.0,0.65,0.5,0.04999999999999999,6340,2106,0.16462867363973724,0.6239645356782801,-7.502733603858505e-16,34.03588471522651,147.81969278353495,25.45474312935145,17.702407031799755,0.9223552936273239
0.75,1.0,0.7,0.45,0.04999999999999993,6340,2106,0.1646293772446683,0.6239673312443612,-4.540691025639288e-16,34.063074082048686,150.20481881093485,25.454863103870967,17.702407031799755,0.9234576399766795
0.75,1.0,0.75,0.4,0.14999999999999997,6340,2106,0.16463171154927778,0.6239739531719735,-1.5016423108489672e-16,34.09641704592033,152.59092724719994,25.454988547427792,17.702407031799755,0.9238491274652357
0.75,1.0,0.7,0.5,0.09999999999999992,6340,2106,0.16465250694112335,0.6240152319139962,-7.546384413291605e-16,34.19684471788578,150.20481881093485,25.454863103870967,17.702407031799755,0.9221604864559848
0.75,1.0,0.65,0.55,0.10000000000000003,6340,2106,0.1646525300126406,0.6240141162192819,-2.6594987783349986e-16,34.17281407063021,147.81969278353495,25.45474312935145,17.702407031799755,0.9213597165930287
0.75,1.0,0.75,0.45,0.09999999999999998,6340,2106,0.16465411395662236,0.6240201731457796,-2.7033455883408233e-16,34.22696500546918,152.59092724719994,25.454988547427792,17.702407031799755,0.9233134077440535
0.75,1.0,0.7,0.55,0.14999999999999997,6340,2106,0.1646764229429336,0.624064940691587,-4.548378386190626e-16,34.33341862553783,150.20481881093485,25.454863103870967,17.702407031799755,0.9214027989482287
0.75,1.0,0.75,0.5,0.14999999999999997,6340,2106,0.16467730317868848,0.6240682016007857,-5.714185598735136e-16,34.36037482160299,152.59092724719994,25.454988547427792,17.702407031799755,0.9220733851726457
0.75,1.0,0.75,0.55,0.2,6340,2106,0.16470127843109628,0.6241180380330904,-2.7238674913882704e-16,34.496586857350025,152.59092724719994,25.454988547427792,17.702407031799755,0.9213728286141766
1.0,1.0,0.55,0.35,0.2,6340,2106,0.16492889028504829,0.624645642360332,2.729012995724717e-16,34.94181157448777,152.74287015346056,25.46256162028541,23.60320937573301,0.9215189339926808
1.0,1.0,0.55,0.4,0.14999999999999997,6340,2106,0.16495964541304192,0.6247094103325247,2.1294645790465045e-16,35.11877372319651,152.74287015346056,25.46256162028541,23.60320937573301,0.920141235199221
1.0,1.0,0.6,0.35,0.15000000000000008,6340,2106,0.16496237492631655,0.6247173809889991,2.724062932758219e-16,35.15736009791084,155.92445065206346,25.449265544012206,23.60320937573301,0.9208117059310316
1.0,1.0,0.55,0.45,0.09999999999999998,6340,2106,0.16499180222840237,0.6247764040399769,2.1267278406644396e-16,35.30062417895931,152.74287015346056,25.46256162028541,23.60320937573301,0.919096019799152
1.0,1.0,0.6,0.4,0.10000000000000003,6340,2106,0.16499323819614356,0.6247813792935808,9.149924653846303e-17,35.333702887281774,155.92445065206346,25.449265544012206,23.60320937573301,0.9202030490132036
1.0,1.0,0.65,0.35,0.10000000000000003,6340,2106,0.16499757846423602,0.6247931715698691,-2.9876465160881175e-16,35.37731206476056,159.10799833657802,25.44449164771013,23.60320937573301,0.9188943116401248
1.0,1.0,0.6,0.45,0.050000000000000044,6340,2106,0.1650255024799452,0.6248486030140769,9.432022881861892e-17,35.51493154778638,155.92445065206346,25.449265544012206,23.60320937573301,0.9191737553530999
1.0,1.0,0.65,0.4,0.04999999999999999,6340,2106,0.16502854899331942,0.6248573988205053,-7.200254951097602e-16,35.55302133152246,159.10799833657802,25.44449164771013,23.60320937573301,0.9188943116401248
1.0,1.0,0.7,0.35,0.14999999999999997,6340,2106,0.1650344993051404,0.6248730078683928,9.36073123845105e-16,35.60153202846689,162.29380262378368,25.443066449678817,23.60320937573301,0.9170923035594842
1.0,1.0,0.6,0.5,0.10000000000000003,6340,2106,0.16505916578448898,0.6249190512333176,1.5300470158177006e-16,35.70091361868314,155.92445065206346,25.449265544012206,23.60320937573301,0.9178803481241616
1.0,1.0,0.65,0.45,0.0,6340,2106,0.16506091984188603,0.6249248511707474,-3.590063083800578e-16,35.73361390234129,159.10799833657802,25.44449164771013,23.60320937573301,0.9188943116401248
1.0,1.0,0.7,0.4,0.09999999999999992,6340,2106,0.16506557621609072,0.6249374626855624,2.1090089415279245e-16,35.77659405254674,162.29380262378368,25.443066449678817,23.60320937573301,0.9170923035594842
1.0,1.0,0.75,0.35,0.2,6340,2106,0.16507313568096618,0.6249568839028862,2.4215185736712275e-16,35.82988958816759,165.4821464606215,25.441644167566608,23.60320937573301,0.9149125859311759
1.0,1.0,0.65,0.5,0.04999999999999999,6340,2106,0.16509468900784535,0.6249955277175377,-2.370116934171798e-16,35.91895808224011,159.10799833657802,25.44449164771013,23.60320937573301,0.9178578703736225
1.0,1.0,0.7,0.45,0.04999999999999993,6340,2106,0.1650980527311204,0.6250051422891506,3.3236119086392075e-16,35.95653667873721,162.29380262378368,25.443066449678817,23.60320937573301,0.9170923035594842
1.0,1.0,0.75,0.4,0.14999999999999997,6340,2106,0.16510431810155488,0.6250215649139219,-5.970076788688719e-17,36.00429109233713,165.4821464606215,25.441644167566608,23.60320937573301,0.9149125859311759
1.0,1.0,0.65,0.55,0.10000000000000003,6340,2106,0.16512985435420388,0.6250694278535208,-4.783882440965598e-16,36.10892478346344,159.10799833657802,25.44449164771013,23.60320937573301,0.9170486713542144
1.0,1.0,0.7,0.5,0.09999999999999992,6340,2106,0.16513192683939665,0.6250760457902323,3.9412071968816176e-16,36.1412289959473,162.29380262378368,25.443066449678817,23.60320937573301,0.9170923035594842
1.0,1.0,0.75,0.45,0.09999999999999998,6340,2106,0.16513689939009185,0.6250894704013926,-1.760209006480725e-16,36.18357035820703,165.4821464606215,25.441644167566608,23.60320937573301,0.9149125859311759
1.0,1.0,0.7,0.55,0.14999999999999997,6340,2106,0.16516719639532965,0.6251501725951102,5.130142197406232e-16,36.33054265735863,162.29380262378368,25.443066449678817,23.60320937573301,0.9168669762040232
1.0,1.0,0.75,0.5,0.14999999999999997,6340,2106,0.16517087752711643,0.625160599490527,1.2454838219688152e-16,36.36759727605657,165.4821464606215,25.441644167566608,23.60320937573301,0.9149125859311759
1.0,1.0,0.75,0.55,0.2,6340,2106,0.1652062503585608,0.6252349516012969,6.150545504330701e-17,36.55624425683463,165.4821464606215,25.441644167566608,23.60320937573301,0.9149125859311759
