sportsdb_team_id,sportsdb_team_name,club_id,uefa_team_id,ao_team_name
134085,Levski Sofia,AO-UEFA-50044,50044,Levski Sofia
133647,Celtic,AO-UEFA-50050,50050,Celtic
133738,Real Madrid,AO-UEFA-50051,50051,Real Madrid
133953,HJK Helsinki,AO-UEFA-50052,50052,HJK Helsinki
137973,Valur,AO-UEFA-50057,50057,Valur Reykjavik
138133,Ħamrun Spartans,AO-UEFA-50060,50060,Hamrun Spartans
133768,PSV Eindhoven,AO-UEFA-50062,50062,PSV Eindhoven
134114,FC Porto,AO-UEFA-50064,50064,FC Porto
134005,FCSB,AO-UEFA-50065,50065,FCSB
133804,Galatasaray,AO-UEFA-50067,50067,Galatasaray
133987,Crvena Zvezda,AO-UEFA-50069,50069,Red Star Belgrade
133814,Eintracht Frankfurt,AO-UEFA-50072,50072,Eintracht Frankfurt
133776,Anderlecht,AO-UEFA-50074,50074,Anderlecht
133986,Omonia Nicosia,AO-UEFA-50077,50077,Omonia Nicosia
133644,Dundee United,AO-UEFA-50079,50079,Dundee United
133739,Barcelona,AO-UEFA-50080,50080,FC Barcelona
133746,Panathinaikos,AO-UEFA-50084,50084,Panathinaikos
134039,Floriana,AO-UEFA-50092,50092,Floriana
137938,Borac Banja Luka,AO-UEFA-50104,50104,Borac Banja Luka
133660,Stuttgart,AO-UEFA-50107,50107,VfB Stuttgart
133666,Bayer Leverkusen,AO-UEFA-50109,50109,Bayer Leverkusen
134390,Austria Vienna,AO-UEFA-50110,50110,Austria Wien
137743,Sturm Graz,AO-UEFA-50111,50111,Sturm Graz
133642,Rangers,AO-UEFA-50121,50121,Glasgow Rangers
133638,Aberdeen,AO-UEFA-50122,50122,Aberdeen
133729,Atlético Madrid,AO-UEFA-50124,50124,Atlético Madrid
133727,Athletic Bilbao,AO-UEFA-50125,50125,Athletic Bilbao
133753,AEK Athens,AO-UEFA-50129,50129,AEK Athens
133749,PAOK,AO-UEFA-50130,50130,PAOK Thessaloniki
134792,St Patricks,AO-UEFA-50133,50133,St. Patrick's Athletic
133964,Linfield,AO-UEFA-50134,50134,Linfield Belfast
133670,Napoli,AO-UEFA-50136,50136,Napoli
133682,Roma,AO-UEFA-50137,50137,AS Roma
133681,Inter Milan,AO-UEFA-50138,50138,Internazionale
133676,Juventus,AO-UEFA-50139,50139,Juventus
133772,Ajax,AO-UEFA-50143,50143,Ajax
133992,Legia Warsaw,AO-UEFA-50146,50146,Legia Warsaw
134108,Benfica,AO-UEFA-50147,50147,Benfica
135708,Sporting CP,AO-UEFA-50149,50149,Sporting CP Lisbon
134166,Malmo FF,AO-UEFA-50152,50152,Malmö FF
133794,Beşiktaş,AO-UEFA-50157,50157,Besiktas
137902,Dinamo Minsk,AO-UEFA-50161,50161,Dinamo Minsk
133960,Partizan Belgrade,AO-UEFA-50162,50162,Partizan Belgrade
133961,Dinamo Zagreb,AO-UEFA-50164,50164,Dinamo Zagreb
136684,Baník Ostrava,AO-UEFA-51886,51886,Baník Ostrava
133722,Real Betis,AO-UEFA-52265,52265,Real Betis
133604,Arsenal,AO-UEFA-52280,52280,Arsenal
134314,Győri ETO,AO-UEFA-52287,52287,ETO Györ
134620,Ferencváros,AO-UEFA-52298,52298,Ferencváros
134064,Differdange 03,AO-UEFA-52309,52309,Differdange 03
134570,Viking,AO-UEFA-52319,52319,Viking Stavanger
133764,Utrecht,AO-UEFA-52323,52323,FC Utrecht
133767,AZ Alkmaar,AO-UEFA-52327,52327,AZ Alkmaar
134098,Braga,AO-UEFA-52336,52336,Sporting Braga
134011,AIK,AO-UEFA-52341,52341,AIK Stockholm
134731,Hammarby,AO-UEFA-52343,52343,Hammarby IF
134018,KuPS,AO-UEFA-52350,52350,KuPS Kuopio
133712,Nice,AO-UEFA-52355,52355,OGC Nice
134399,Rijeka,AO-UEFA-52356,52356,NK Rijeka
134019,Hajduk Split,AO-UEFA-52359,52359,Hajduk Split
133978,Shamrock Rovers,AO-UEFA-52381,52381,Shamrock Rovers
136036,Slavia Prague,AO-UEFA-52498,52498,Slavia Praha
138132,Hibernians,AO-UEFA-52640,52640,Hibernians FC
133720,Nottingham Forest,AO-UEFA-52681,52681,Nottingham Forest
133601,Aston Villa,AO-UEFA-52683,52683,Aston Villa
133807,Fenerbahçe,AO-UEFA-52692,52692,Fenerbahçe
137974,Víkingur Reykjavík,AO-UEFA-52697,52697,Vikingur Reykjavik
134126,Shakhtar Donetsk,AO-UEFA-52707,52707,Shakhtar Donetsk
133898,FC Copenhagen,AO-UEFA-52709,52709,FC København
133944,Dynamo Kyiv,AO-UEFA-52723,52723,Dynamo Kyiv
133714,Paris SG,AO-UEFA-52747,52747,Paris Saint-Germain
133707,Marseille,AO-UEFA-52748,52748,Olympique Marseille
