match_id,competition,source_event_id,home_shots_on_goal,away_shots_on_goal,home_shots_off_goal,away_shots_off_goal,home_total_shots,away_total_shots,home_blocked_shots,away_blocked_shots,home_shots_insidebox,away_shots_insidebox,home_shots_outsidebox,away_shots_outsidebox,home_fouls,away_fouls,home_corner_kicks,away_corner_kicks,home_offsides,away_offsides,home_ball_possession,away_ball_possession,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_goalkeeper_saves,away_goalkeeper_saves,home_total_passes,away_total_passes,home_passes_accurate,away_passes_accurate,home_passes,away_passes,home_expected_goals,away_expected_goals,home_goals_prevented,away_goals_prevented,stats_covered,xg_raw_present,xg_covered,xg_zero_inconsistent_with_shots,xg_both_zero,xg_placeholder_suspected,xg_analysis_eligible,xg_quality_status
202526-0594,UECL,2272258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0596,UECL,2272261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0598,UECL,2272260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0600,UECL,2272257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0558,UECL,2272262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0287,UEL,2272321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0564,UECL,2272264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0566,UECL,2272265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0574,UECL,2272267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0584,UECL,2272266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0588,UECL,2272263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0297,UEL,2272320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0570,UECL,2272268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0285,UEL,2272322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0289,UEL,2272324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0293,UEL,2272323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0568,UECL,2272269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0586,UECL,2272270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0572,UECL,2272271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0578,UECL,2272274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0590,UECL,2272273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0592,UECL,2272272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0295,UEL,2272325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0576,UECL,2272275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0051,UCL,2291175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0035,UCL,2291177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0037,UCL,2291176,3,5,6,4,10,10,1,1,3,8,7,2,11,9,2,5,1,0,56,44,2,0,0,1,3,3,421,323,352,252,84,78,0,0,0,0,True,True,True,True,True,True,False,ZERO_INCONSISTENT_WITH_SHOTS
202526-0029,UCL,2291180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,False,True,True,False,BOTH_ZERO_PLACEHOLDER
202526-0031,UCL,2291178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0033,UCL,2272357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0041,UCL,2291179,5,1,9,4,16,8,2,3,14,5,2,3,9,10,6,3,1,1,65,35,1,3,0,0,1,3,536,277,462,204,86,74,0,0,0,0,True,True,True,True,True,True,False,ZERO_INCONSISTENT_WITH_SHOTS
202526-0055,UCL,2272356,9,2,11,2,25,6,5,2,17,5,8,1,5,10,9,3,2,3,62,38,0,0,0,0,1,6,496,314,415,222,84,71,0,0,0,0,True,True,True,True,True,True,False,ZERO_INCONSISTENT_WITH_SHOTS
202526-0045,UCL,2291182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0047,UCL,2291183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0039,UCL,2291184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0603,UECL,2291965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0043,UCL,2291185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0057,UCL,2272358,5,4,5,6,16,14,6,4,8,13,8,1,10,12,3,6,1,0,75,25,2,2,0,1,4,3,708,217,655,162,93,75,0,0,0,0,True,True,True,True,True,True,False,ZERO_INCONSISTENT_WITH_SHOTS
202526-0629,UECL,2272286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0689,UECL,2291966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0053,UCL,2272359,2,10,5,6,8,21,1,5,2,19,6,2,10,18,1,7,1,5,47,53,4,1,0,0,6,1,399,442,307,363,77,82,0,0,0,0,True,True,True,True,True,True,False,ZERO_INCONSISTENT_WITH_SHOTS
202526-0641,UECL,2272285,8,2,5,3,16,6,3,1,7,5,9,1,8,7,3,5,1,3,65,35,3,0,0,0,1,7,777,412,717,356,92,86,0,0,0,0,True,True,True,True,True,True,False,ZERO_INCONSISTENT_WITH_SHOTS
202526-0693,UECL,2291967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0695,UECL,2291968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0049,UCL,2291181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0697,UECL,2291969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0659,UECL,2272300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0661,UECL,2291970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0657,UECL,2291979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0609,UECL,2291972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0615,UECL,2291976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0619,UECL,2291973,7,8,5,9,14,23,2,6,8,14,6,9,7,8,4,9,0,0,35,65,0,2,0,0,5,3,310,592,233,522,75,88,0,0,0,0,True,True,True,True,True,True,False,ZERO_INCONSISTENT_WITH_SHOTS
202526-0633,UECL,2291977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0637,UECL,2291971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
