model,candidate_key,alpha,tau,base_bonus,complexity,matches,brier_1x2,log_loss_1x2,accuracy_1x2,multiclass_ece,ranking_score,pairwise_accuracy,minimum_start_end_rank_correlation,maximum_abs_rating_change,maximum_abs_match_delta,maximum_total_elo_error
FULL_MODEL,full_model_a0.05_t250_b8,0.05,250.0,8.0,2,4884,0.5793981279782354,0.9756262834265214,0.5370597870597871,0.0179748162560647,0.2964293711781854,0.601601881923125,0.9359355813518238,482.7565351131466,92.74433375640203,1.1641532182693481e-10
FULL_MODEL,full_model_a0.05_t250_b10,0.05,250.0,10.0,2,4884,0.5793957470242368,0.9756234960623805,0.5370597870597871,0.017952044618668974,0.296444264535527,0.6015999510009689,0.9359319295010202,489.4232017798131,92.74433375640203,5.820766091346741e-11
FULL_MODEL,full_model_a0.05_t250_b12,0.05,250.0,12.0,2,4884,0.5793934654547904,0.9756208552058027,0.5370597870597871,0.01798389494905105,0.2965651850933348,0.6016581456416275,0.9357529888116422,496.0898684464796,92.74433375640203,1.1641532182693481e-10
FULL_MODEL,full_model_a0.05_t300_b0,0.05,300.0,0.0,1,4884,0.5794003731697964,0.9756268326193029,0.5370597870597871,0.018210277637998245,0.2962741344430036,0.6016371532407407,0.9358871943286756,456.42959955019523,92.82669040730185,1.1641532182693481e-10
FULL_MODEL,full_model_a0.05_t300_b2,0.05,300.0,2.0,2,4884,0.5793975996924007,0.9756234656987586,0.5370597870597871,0.01802369394995959,0.29636341550786854,0.6016457438865725,0.9358525017460411,463.0962662168615,92.82669040730185,1.1641532182693481e-10
FULL_MODEL,full_model_a0.05_t300_b4,0.05,300.0,4.0,2,4884,0.5793949254096464,0.9756202452478123,0.5370597870597871,0.01805569352981784,0.29641673374002375,0.6016547906853507,0.9358844554405729,469.76293288352895,92.82669040730185,5.820766091346741e-11
FULL_MODEL,full_model_a0.05_t300_b6,0.05,300.0,6.0,2,4884,0.5793923503807846,0.9756171712909864,0.5370597870597871,0.018060399050298184,0.29645562051668944,0.6016321670052381,0.9359027146945912,476.42959955019523,92.82669040730185,1.1641532182693481e-10
FULL_MODEL,full_model_a0.05_t300_b8,0.05,300.0,8.0,2,4884,0.5793898746634898,0.9756142438520948,0.5370597870597871,0.01806500806560775,0.29652323654282725,0.6016516340807322,0.9358287647158173,483.0962662168622,92.82669040730185,1.1641532182693481e-10
FULL_MODEL,full_model_a0.05_t300_b10,0.05,300.0,10.0,2,4884,0.5793874983138584,0.9756114629542464,0.5370597870597871,0.018042237890292637,0.2965983656033567,0.6016709934289569,0.9357402073338295,489.7629328835287,92.82669040730185,1.1641532182693481e-10
FULL_MODEL,full_model_a0.05_t300_b12,0.05,300.0,12.0,2,4884,0.5793852213864065,0.9756088286198404,0.5370597870597871,0.01814234005891588,0.29664964539485844,0.6016991563013354,0.9356352166232248,496.42959955019523,92.82669040730185,1.1641532182693481e-10
