match_id,fotmob_fetch_status,detail_identity_verified,detail_score_verified,detail_chronology_verified,xg_disposition
202021-0324,OK,True,True,True,NO_PUBLIC_XG
202021-0064,OK,True,True,True,ACCEPTED
202021-0067,OK,True,True,True,ACCEPTED
202021-0062,OK,True,True,True,ACCEPTED
202021-0063,OK,True,True,True,ACCEPTED
202021-0065,OK,True,True,True,ACCEPTED
202021-0066,OK,True,True,True,ACCEPTED
202021-0068,OK,True,True,True,ACCEPTED
202021-0069,OK,True,True,True,ACCEPTED
202021-0054,OK,True,True,True,ACCEPTED
202021-0056,OK,True,True,True,ACCEPTED
202021-0055,OK,True,True,True,ACCEPTED
202021-0057,OK,True,True,True,ACCEPTED
202021-0058,OK,True,True,True,ACCEPTED
202021-0059,OK,True,True,True,ACCEPTED
202021-0060,OK,True,True,True,ACCEPTED
202021-0061,OK,True,True,True,ACCEPTED
202021-0336,OK,True,True,True,ACCEPTED
202021-0337,OK,True,True,True,ACCEPTED
202021-0338,OK,True,True,True,ACCEPTED
202021-0339,OK,True,True,True,ACCEPTED
202021-0340,OK,True,True,True,ACCEPTED
202021-0341,OK,True,True,True,ACCEPTED
202021-0342,OK,True,True,True,ACCEPTED
202021-0343,OK,True,True,True,ACCEPTED
202021-0344,OK,True,True,True,ACCEPTED
202021-0345,OK,True,True,True,ACCEPTED
202021-0346,OK,True,True,True,ACCEPTED
202021-0347,OK,True,True,True,ACCEPTED
202021-0348,OK,True,True,True,ACCEPTED
202021-0349,OK,True,True,True,ACCEPTED
202021-0350,OK,True,True,True,ACCEPTED
202021-0351,OK,True,True,True,ACCEPTED
202021-0352,OK,True,True,True,ACCEPTED
202021-0353,OK,True,True,True,ACCEPTED
202021-0354,OK,True,True,True,ACCEPTED
202021-0355,OK,True,True,True,ACCEPTED
202021-0356,OK,True,True,True,ACCEPTED
202021-0357,OK,True,True,True,ACCEPTED
202021-0358,OK,True,True,True,ACCEPTED
202021-0359,OK,True,True,True,ACCEPTED
202021-0071,OK,True,True,True,ACCEPTED
202021-0073,OK,True,True,True,ACCEPTED
202021-0070,OK,True,True,True,ACCEPTED
202021-0072,OK,True,True,True,ACCEPTED
202021-0074,OK,True,True,True,ACCEPTED
202021-0075,OK,True,True,True,ACCEPTED
202021-0076,OK,True,True,True,ACCEPTED
202021-0077,OK,True,True,True,ACCEPTED
202021-0078,OK,True,True,True,ACCEPTED
202021-0085,OK,True,True,True,ACCEPTED
202021-0079,OK,True,True,True,ACCEPTED
202021-0080,OK,True,True,True,ACCEPTED
202021-0081,OK,True,True,True,ACCEPTED
202021-0082,OK,True,True,True,ACCEPTED
202021-0083,OK,True,True,True,ACCEPTED
202021-0084,OK,True,True,True,ACCEPTED
202021-0372,OK,True,True,True,ACCEPTED
202021-0373,NOT_REQUESTED,False,False,False,IDENTITY_AMBIGUOUS
202021-0374,OK,True,True,True,ACCEPTED
202021-0375,OK,True,True,True,ACCEPTED
202021-0376,OK,True,True,True,ACCEPTED
202021-0377,OK,True,True,True,ACCEPTED
202021-0378,OK,True,True,True,ACCEPTED
202021-0379,OK,True,True,True,ACCEPTED
202021-0380,OK,True,True,True,ACCEPTED
202021-0381,OK,True,True,True,ACCEPTED
202021-0382,OK,True,True,True,ACCEPTED
202021-0383,OK,True,True,True,ACCEPTED
202021-0360,OK,True,True,True,ACCEPTED
202021-0361,OK,True,True,True,ACCEPTED
202021-0362,OK,True,True,True,ACCEPTED
202021-0363,OK,True,True,True,ACCEPTED
202021-0364,OK,True,True,True,ACCEPTED
202021-0365,OK,True,True,True,ACCEPTED
202021-0366,OK,True,True,True,ACCEPTED
202021-0367,OK,True,True,True,ACCEPTED
202021-0368,OK,True,True,True,ACCEPTED
202021-0369,OK,True,True,True,ACCEPTED
202021-0370,OK,True,True,True,ACCEPTED
202021-0371,OK,True,True,True,ACCEPTED
202021-0086,OK,True,True,True,ACCEPTED
202021-0088,OK,True,True,True,ACCEPTED
202021-0087,OK,True,True,True,ACCEPTED
202021-0089,OK,True,True,True,ACCEPTED
202021-0090,OK,True,True,True,ACCEPTED
202021-0091,OK,True,True,True,ACCEPTED
202021-0092,OK,True,True,True,ACCEPTED
202021-0093,OK,True,True,True,ACCEPTED
202021-0097,OK,True,True,True,ACCEPTED
202021-0100,OK,True,True,True,ACCEPTED
202021-0094,OK,True,True,True,ACCEPTED
202021-0095,OK,True,True,True,ACCEPTED
202021-0096,OK,True,True,True,ACCEPTED
202021-0098,OK,True,True,True,ACCEPTED
202021-0099,OK,True,True,True,ACCEPTED
202021-0101,OK,True,True,True,ACCEPTED
202021-0384,OK,True,True,True,ACCEPTED
202021-0387,OK,True,True,True,ACCEPTED
202021-0388,OK,True,True,True,ACCEPTED
202021-0389,OK,True,True,True,ACCEPTED
202021-0390,OK,True,True,True,ACCEPTED
202021-0391,OK,True,True,True,ACCEPTED
202021-0392,OK,True,True,True,ACCEPTED
202021-0393,OK,True,True,True,ACCEPTED
202021-0394,OK,True,True,True,ACCEPTED
202021-0395,OK,True,True,True,ACCEPTED
202021-0400,OK,True,True,True,ACCEPTED
202021-0403,OK,True,True,True,ACCEPTED
202021-0385,OK,True,True,True,ACCEPTED
202021-0386,OK,True,True,True,ACCEPTED
202021-0396,OK,True,True,True,ACCEPTED
202021-0397,OK,True,True,True,ACCEPTED
202021-0398,OK,True,True,True,ACCEPTED
202021-0399,OK,True,True,True,ACCEPTED
202021-0401,OK,True,True,True,ACCEPTED
202021-0402,OK,True,True,True,ACCEPTED
202021-0404,OK,True,True,True,ACCEPTED
202021-0405,OK,True,True,True,ACCEPTED
202021-0406,OK,True,True,True,ACCEPTED
202021-0407,OK,True,True,True,ACCEPTED
202021-0110,OK,True,True,True,ACCEPTED
202021-0111,OK,True,True,True,ACCEPTED
202021-0112,OK,True,True,True,ACCEPTED
202021-0113,OK,True,True,True,ACCEPTED
202021-0114,OK,True,True,True,ACCEPTED
202021-0115,OK,True,True,True,ACCEPTED
202021-0116,OK,True,True,True,ACCEPTED
202021-0117,OK,True,True,True,ACCEPTED
202021-0104,OK,True,True,True,ACCEPTED
202021-0107,OK,True,True,True,ACCEPTED
202021-0102,OK,True,True,True,ACCEPTED
202021-0103,OK,True,True,True,ACCEPTED
202021-0105,OK,True,True,True,ACCEPTED
202021-0106,OK,True,True,True,ACCEPTED
202021-0108,OK,True,True,True,ACCEPTED
202021-0109,OK,True,True,True,ACCEPTED
202021-0409,OK,True,True,True,ACCEPTED
202021-0410,OK,True,True,True,ACCEPTED
202021-0420,OK,True,True,True,ACCEPTED
202021-0421,OK,True,True,True,ACCEPTED
202021-0422,OK,True,True,True,ACCEPTED
202021-0423,OK,True,True,True,ACCEPTED
202021-0424,OK,True,True,True,ACCEPTED
202021-0425,OK,True,True,True,ACCEPTED
202021-0426,OK,True,True,True,ACCEPTED
202021-0428,OK,True,True,True,ACCEPTED
202021-0429,OK,True,True,True,ACCEPTED
202021-0430,OK,True,True,True,ACCEPTED
202021-0431,OK,True,True,True,ACCEPTED
202021-0408,OK,True,True,True,ACCEPTED
202021-0411,OK,True,True,True,ACCEPTED
202021-0412,OK,True,True,True,ACCEPTED
202021-0413,OK,True,True,True,ACCEPTED
202021-0414,OK,True,True,True,ACCEPTED
202021-0415,OK,True,True,True,ACCEPTED
202021-0416,OK,True,True,True,ACCEPTED
202021-0417,OK,True,True,True,ACCEPTED
202021-0418,OK,True,True,True,ACCEPTED
202021-0419,OK,True,True,True,ACCEPTED
202021-0427,OK,True,True,True,ACCEPTED
202021-0118,OK,True,True,True,ACCEPTED
202021-0120,OK,True,True,True,ACCEPTED
202021-0119,OK,True,True,True,ACCEPTED
202021-0121,OK,True,True,True,ACCEPTED
202021-0122,OK,True,True,True,ACCEPTED
202021-0123,OK,True,True,True,ACCEPTED
202021-0124,OK,True,True,True,ACCEPTED
202021-0125,OK,True,True,True,ACCEPTED
202021-0127,OK,True,True,True,ACCEPTED
202021-0132,OK,True,True,True,ACCEPTED
202021-0126,OK,True,True,True,ACCEPTED
202021-0128,OK,True,True,True,ACCEPTED
202021-0129,OK,True,True,True,ACCEPTED
202021-0130,OK,True,True,True,ACCEPTED
202021-0131,OK,True,True,True,ACCEPTED
202021-0133,OK,True,True,True,ACCEPTED
202021-0444,OK,True,True,True,ACCEPTED
202021-0445,OK,True,True,True,ACCEPTED
202021-0446,OK,True,True,True,ACCEPTED
202021-0447,OK,True,True,True,ACCEPTED
202021-0448,OK,True,True,True,ACCEPTED
202021-0449,OK,True,True,True,ACCEPTED
202021-0450,OK,True,True,True,ACCEPTED
202021-0451,OK,True,True,True,ACCEPTED
202021-0452,OK,True,True,True,ACCEPTED
202021-0453,OK,True,True,True,ACCEPTED
202021-0454,OK,True,True,True,ACCEPTED
