segment,competition,model_arm,matches,brier_1x2,log_loss_1x2,accuracy_1x2,predicted_draw_rate,observed_draw_rate,delta_vs_baseline_brier_1x2,delta_vs_baseline_log_loss_1x2,delta_vs_baseline_accuracy_1x2
SINGLE_MATCH,UECL,PRESPECIFIED_012,5,0.3684896905744783,0.6431639050166023,1.0,0.1147961460722861,0.0,-0.05940830222906113,-0.11721411617590405,0.0
SINGLE_MATCH,UEL,BASELINE,163,0.5113399804472227,0.8812388707253828,0.6319018404907976,0.20335820254074932,0.1165644171779141,0.0,0.0,0.0
SINGLE_MATCH,UEL,CANDIDATE,163,0.5096870512301119,0.9129857776421247,0.6319018404907976,0.03590274419832789,0.1165644171779141,-0.001652929217110799,0.03174690691674198,0.0
SINGLE_MATCH,UEL,PRESPECIFIED_012,163,0.5008455504600707,0.8577507683244175,0.6319018404907976,0.10167910127037466,0.1165644171779141,-0.010494429987151999,-0.023488102400965216,0.0
TWO_LEGGED,ALL,BASELINE,2764,0.5844923727427515,0.9823646425049477,0.5336468885672938,0.2096182608737173,0.21599131693198265,0.0,0.0,0.0
TWO_LEGGED,ALL,CANDIDATE,2764,0.5844923727427515,0.9823646425049477,0.5336468885672938,0.2096182608737173,0.21599131693198265,0.0,0.0,0.0
TWO_LEGGED,ALL,PRESPECIFIED_012,2764,0.5844923727427515,0.9823646425049477,0.5336468885672938,0.2096182608737173,0.21599131693198265,0.0,0.0,0.0
TWO_LEGGED,UCL,BASELINE,656,0.5672131056596117,0.9578028131972848,0.5655487804878049,0.20346319920798286,0.21951219512195122,0.0,0.0,0.0
TWO_LEGGED,UCL,CANDIDATE,656,0.5672131056596117,0.9578028131972848,0.5655487804878049,0.20346319920798286,0.21951219512195122,0.0,0.0,0.0
TWO_LEGGED,UCL,PRESPECIFIED_012,656,0.5672131056596117,0.9578028131972848,0.5655487804878049,0.20346319920798286,0.21951219512195122,0.0,0.0,0.0
TWO_LEGGED,UECL,BASELINE,1564,0.587801432041995,0.9872213303216272,0.5249360613810742,0.21305110350634174,0.21035805626598467,0.0,0.0,0.0
TWO_LEGGED,UECL,CANDIDATE,1564,0.587801432041995,0.9872213303216272,0.5249360613810742,0.21305110350634174,0.21035805626598467,0.0,0.0,0.0
TWO_LEGGED,UECL,PRESPECIFIED_012,1564,0.587801432041995,0.9872213303216272,0.5249360613810742,0.21305110350634174,0.21035805626598467,0.0,0.0,0.0
TWO_LEGGED,UEL,BASELINE,544,0.5958155905047415,0.9980203415500585,0.5202205882352942,0.207171118548896,0.22794117647058823,0.0,0.0,0.0
TWO_LEGGED,UEL,CANDIDATE,544,0.5958155905047415,0.9980203415500585,0.5202205882352942,0.207171118548896,0.22794117647058823,0.0,0.0,0.0
TWO_LEGGED,UEL,PRESPECIFIED_012,544,0.5958155905047415,0.9980203415500585,0.5202205882352942,0.207171118548896,0.22794117647058823,0.0,0.0,0.0
