candidate,season,competition,matches,log_loss,brier,decisive_accuracy,mean_season_spearman
country_b12.5_g2.0_c280,2025/26,UECL,409,0.636157842062712,0.17156434975279788,0.676923076923077,0.35401375941287977
country_b12.5_g2.0_c300,2021/22,ALL,816,0.6192630380393759,0.15735634120366698,0.7006369426751592,0.4255047454119041
country_b12.5_g2.0_c300,2021/22,UCL,218,0.608340466969765,0.16118979156812704,0.7215909090909091,0.43875704038726804
country_b12.5_g2.0_c300,2021/22,UEL,175,0.6418476954168055,0.15581996246087176,0.626984126984127,0.45310046994928127
country_b12.5_g2.0_c300,2021/22,UECL,423,0.6155486301247778,0.1560163272569457,0.7177914110429447,0.36489538887869666
country_b12.5_g2.0_c300,2022/23,ALL,804,0.6338051354043657,0.16488651950281416,0.6650563607085346,0.4058076249161483
country_b12.5_g2.0_c300,2022/23,UCL,214,0.6256200281062643,0.16096743320472837,0.6787878787878788,0.34847723797193614
country_b12.5_g2.0_c300,2022/23,UEL,175,0.6359412456651069,0.16313399775889062,0.6691729323308271,0.39396743245280486
country_b12.5_g2.0_c300,2022/23,UECL,415,0.6371251201421102,0.16764646112444542,0.6563467492260062,0.3517214104472631
country_b12.5_g2.0_c300,2023/24,ALL,806,0.6128130791745016,0.15909014605384966,0.6929133858267716,0.4059026051304406
country_b12.5_g2.0_c300,2023/24,UCL,214,0.6286420067818405,0.16194351488545283,0.6727272727272727,0.4072801165901602
country_b12.5_g2.0_c300,2023/24,UEL,175,0.5768175869514302,0.14485809236411723,0.75,0.6665139734791802
country_b12.5_g2.0_c300,2023/24,UECL,417,0.619795862462432,0.16359851167912565,0.6787878787878788,0.3434566010871722
country_b12.5_g2.0_c300,2024/25,ALL,957,0.625191722146258,0.17027294461325929,0.7019354838709677,0.44461647734661336
country_b12.5_g2.0_c300,2024/25,UCL,279,0.626511175545609,0.17908957672395728,0.6978723404255319,0.40319331545445
country_b12.5_g2.0_c300,2024/25,UEL,269,0.627916506437436,0.16743349467135582,0.7242990654205608,0.4776457099334903
country_b12.5_g2.0_c300,2024/25,UECL,409,0.6224995596212072,0.16612617609366828,0.6901840490797546,0.3742163668208595
country_b12.5_g2.0_c300,2025/26,ALL,961,0.6339214988147518,0.1728452219157264,0.6722797927461139,0.39066888158072116
country_b12.5_g2.0_c300,2025/26,UCL,281,0.6198119190471103,0.16824963656752034,0.6929824561403509,0.425510586922796
country_b12.5_g2.0_c300,2025/26,UEL,271,0.6457445916611931,0.17988429742876638,0.634703196347032,0.3861470671240329
country_b12.5_g2.0_c300,2025/26,UECL,409,0.6357814835416996,0.17133854714509583,0.683076923076923,0.34970713326159136
country_b12.5_g2.0_c320,2021/22,ALL,816,0.6192419461491959,0.1573338834476783,0.6990445859872612,0.4210178827741983
country_b12.5_g2.0_c320,2021/22,UCL,218,0.6085372570675881,0.1612797132807335,0.7215909090909091,0.4393714633021991
country_b12.5_g2.0_c320,2021/22,UEL,175,0.6414665650214868,0.15566043523539927,0.626984126984127,0.46796899802893244
country_b12.5_g2.0_c320,2021/22,UECL,423,0.6155642012724573,0.15599266012272037,0.7147239263803681,0.3569652871595183
country_b12.5_g2.0_c320,2022/23,ALL,804,0.6336612567087797,0.1647929872968972,0.6650563607085346,0.40380612000836513
country_b12.5_g2.0_c320,2022/23,UCL,214,0.6257032304516974,0.1610134665927922,0.6787878787878788,0.3446959680412314
country_b12.5_g2.0_c320,2022/23,UEL,175,0.6351726037384853,0.1628584635523473,0.6691729323308271,0.3879925399704062
country_b12.5_g2.0_c320,2022/23,UECL,415,0.6371275986095438,0.16755770798599293,0.6563467492260062,0.3487040566576719
country_b12.5_g2.0_c320,2023/24,ALL,806,0.6129876118912156,0.15916531060596537,0.694488188976378,0.4051619490479605
