cap,arm,fold,test_season,seed_spearman,seed_pairwise_accuracy
0.675,BASELINE,5,2024/25,0.485020897334837,0.6688403434409304
0.675,BASELINE,6,2025/26,0.4180813949532887,0.6451028687337004
0.675,PARTICIPATION_NORMALIZED,1,2020/21,0.4677544233429758,0.6646315184599914
0.675,PARTICIPATION_NORMALIZED,2,2021/22,0.46977275989980866,0.6621252426486448
0.675,PARTICIPATION_NORMALIZED,3,2022/23,0.4658022678943203,0.6623154449775001
0.675,PARTICIPATION_NORMALIZED,4,2023/24,0.49050397279055474,0.6694102015206319
0.675,PARTICIPATION_NORMALIZED,5,2024/25,0.5003872415713443,0.6744556751077782
0.675,PARTICIPATION_NORMALIZED,6,2025/26,0.42075289698946255,0.6451753115039119
0.7,BASELINE,1,2020/21,0.4647550758088267,0.663985059617871
0.7,BASELINE,2,2021/22,0.47038353872773225,0.6621252426486448
0.7,BASELINE,3,2022/23,0.45580375030025827,0.657852653501432
0.7,BASELINE,4,2023/24,0.46854526042062866,0.6616224994463719
0.7,BASELINE,5,2024/25,0.48453196820003896,0.6686229757635039
0.7,BASELINE,6,2025/26,0.41792389867808716,0.6449579831932772
0.7,PARTICIPATION_NORMALIZED,1,2020/21,0.46840486796151765,0.6651343197816406
0.7,PARTICIPATION_NORMALIZED,2,2021/22,0.47021315171890926,0.6620533467539004
0.7,PARTICIPATION_NORMALIZED,3,2022/23,0.46575909926970294,0.6621666852616311
0.7,PARTICIPATION_NORMALIZED,4,2023/24,0.49123082504380455,0.6697054698457223
0.7,PARTICIPATION_NORMALIZED,5,2024/25,0.5002799602018975,0.6743832192153026
0.7,PARTICIPATION_NORMALIZED,6,2025/26,0.41937469045371256,0.6451390901188061
0.725,BASELINE,1,2020/21,0.4651526448688086,0.6642723746588134
0.725,BASELINE,2,2021/22,0.4726526609563429,0.6630239413329498
0.725,BASELINE,3,2022/23,0.45575441472926703,0.657852653501432
0.725,BASELINE,4,2023/24,0.4686084853266781,0.6616594079870082
0.725,BASELINE,5,2024/25,0.48419140691660356,0.6684418360323153
0.725,BASELINE,6,2025/26,0.41824436935980175,0.6449579831932772
0.725,PARTICIPATION_NORMALIZED,1,2020/21,0.46820112508724115,0.6651702341617582
0.725,PARTICIPATION_NORMALIZED,2,2021/22,0.47211715892861356,0.6627363577539722
0.725,PARTICIPATION_NORMALIZED,3,2022/23,0.4650038855291446,0.661831975900926
0.725,PARTICIPATION_NORMALIZED,4,2023/24,0.49577833495299006,0.6714770797962648
