segment_type,segment_value,model,matches,brier_1x2,log_loss_1x2,accuracy_1x2,baseline_brier,baseline_log_loss,delta_brier_vs_ao,delta_log_loss_vs_ao
coverage,BOTH,CURRENT_AO,2990,0.5746516010515942,0.9681373564175416,0.5545150501672241,0.5746516010515942,0.9681373564175416,0.0,0.0
coverage,BOTH,CURRENT_ML_BLEND,2990,0.5725134123082355,0.9655102269406446,0.5521739130434783,0.5746516010515942,0.9681373564175416,-0.0021381887433586932,-0.0026271294768970277
coverage,BOTH,DOMESTIC_AD_RAW,2990,0.578674070621851,0.9737132931230243,0.5481605351170569,0.5746516010515942,0.9681373564175416,0.00402246957025687,0.005575936705482731
coverage,BOTH,DOMESTIC_AD_RELIABLE,2990,0.5789545237161242,0.9741395399809496,0.5471571906354515,0.5746516010515942,0.9681373564175416,0.004302922664530029,0.006002183563407981
coverage,BOTH,DOMESTIC_ATTACK_DEFENCE_DIXON_COLES,2990,0.5788846443468841,0.9740226825340933,0.5471571906354515,0.5746516010515942,0.9681373564175416,0.004233043295289951,0.005885326116551681
coverage,BOTH,DOMESTIC_ATTACK_DEFENCE_POISSON,2990,0.5789545237161242,0.9741395399809496,0.5471571906354515,0.5746516010515942,0.9681373564175416,0.004302922664530029,0.006002183563407981
coverage,BOTH,EXISTING_ELO_POISSON,2990,0.575413007096246,0.9694755309627995,0.5545150501672241,0.5746516010515942,0.9681373564175416,0.0007614060446518023,0.0013381745452578642
coverage,BOTH,POISSON_FEATURE_LOGISTIC,2990,0.5895639817612235,0.9951847106479961,0.5334448160535117,0.5746516010515942,0.9681373564175416,0.014912380709629303,0.027047354230454457
coverage,NONE,AO_ML_POISSON_BLEND,516,0.571264921602898,0.9628725145153537,0.5581395348837209,0.5722520204937411,0.9646264789548079,-0.000987098890843141,-0.001753964439454192
coverage,NONE,AO_POISSON_BLEND,516,0.5722520204937411,0.9646264789548079,0.5465116279069767,0.5722520204937411,0.9646264789548079,0.0,0.0
coverage,NONE,CURRENT_AO,516,0.5722520204937411,0.9646264789548079,0.5465116279069767,0.5722520204937411,0.9646264789548079,0.0,0.0
coverage,NONE,CURRENT_ML_BLEND,516,0.5707216170290926,0.9628116791074846,0.5484496124031008,0.5722520204937411,0.9646264789548079,-0.0015304034646484999,-0.0018147998473233562
coverage,NONE,DOMESTIC_AD_RAW,516,0.5722520204937411,0.9646264789548079,0.5465116279069767,0.5722520204937411,0.9646264789548079,0.0,0.0
coverage,NONE,DOMESTIC_AD_RELIABLE,516,0.5722520204937411,0.9646264789548079,0.5465116279069767,0.5722520204937411,0.9646264789548079,0.0,0.0
coverage,NONE,DOMESTIC_ATTACK_DEFENCE_DIXON_COLES,516,0.5722520204937411,0.9646264789548079,0.5465116279069767,0.5722520204937411,0.9646264789548079,0.0,0.0
coverage,NONE,DOMESTIC_ATTACK_DEFENCE_POISSON,516,0.5722520204937411,0.9646264789548079,0.5465116279069767,0.5722520204937411,0.9646264789548079,0.0,0.0
coverage,NONE,EXISTING_ELO_POISSON,516,0.575449187165351,0.9710292253968091,0.5465116279069767,0.5722520204937411,0.9646264789548079,0.0031971666716098524,0.006402746442001228
coverage,NONE,POISSON_FEATURE_LOGISTIC,516,0.5793932791408511,0.9763424015853085,0.5387596899224806,0.5722520204937411,0.9646264789548079,0.007141258647110016,0.011715922630500586
