candidate_key,team_learning_rate,season_carry,shrinkage_matches,venue_context,season,matches,goal_nll,home_goal_bias,away_goal_bias
lr0.02_carry0.9_shrink10_venue1,0.02,0.9,10.0,True,2021/22,8314,2.886213482312558,-0.03102625888318383,0.059551897526149325
lr0.02_carry0.9_shrink10_venue1,0.02,0.9,10.0,True,2022/23,8760,2.8939893001188084,-0.02518640301606795,0.05245164045436119
lr0.02_carry0.9_shrink10_venue1,0.02,0.9,10.0,True,2023/24,7675,2.9305367363127384,-0.022173878970535275,0.0019847742898365544
lr0.02_carry0.9_shrink10_venue1,0.02,0.9,10.0,True,2024/25,8666,2.893185296359491,0.0006949246423798334,0.03255663777610702
lr0.02_carry0.9_shrink10_venue1,0.02,0.9,10.0,True,2025/26,8076,2.9207214140396722,-0.015756323425728542,0.022279110449029336
lr0.02_carry0.9_shrink20_venue0,0.02,0.9,20.0,False,2013/14,3543,2.9586885383980444,-0.049610769420726945,0.16475746652296272
lr0.02_carry0.9_shrink20_venue0,0.02,0.9,20.0,False,2014/15,3574,2.8938553143119026,-0.043905799210006966,0.13382150512457602
lr0.02_carry0.9_shrink20_venue0,0.02,0.9,20.0,False,2015/16,2864,2.893121555765101,-0.028481597974762688,0.08726569143875298
lr0.02_carry0.9_shrink20_venue0,0.02,0.9,20.0,False,2016/17,3550,2.8696414883907506,-0.03935697007656197,0.07287324171460197
lr0.02_carry0.9_shrink20_venue0,0.02,0.9,20.0,False,2017/18,3898,2.8790748524197403,-0.0046853213112955745,0.054115537139703476
lr0.02_carry0.9_shrink20_venue0,0.02,0.9,20.0,False,2018/19,4597,2.8971846575720828,-0.03428172146456129,0.062457341593789704
lr0.02_carry0.9_shrink20_venue0,0.02,0.9,20.0,False,2019/20,2730,2.932208163575939,-0.007116582136002404,0.021538298200768045
lr0.02_carry0.9_shrink20_venue0,0.02,0.9,20.0,False,2020/21,8148,2.9019626252059623,0.036670870687045845,0.048168200424369326
lr0.02_carry0.9_shrink20_venue0,0.02,0.9,20.0,False,2021/22,8314,2.8874718600878153,-0.034202562981421866,0.06090084747579207
lr0.02_carry0.9_shrink20_venue0,0.02,0.9,20.0,False,2022/23,8760,2.8949628081972247,-0.029588842909122604,0.056250356832451436
lr0.02_carry0.9_shrink20_venue0,0.02,0.9,20.0,False,2023/24,7675,2.930228220676836,-0.02743303292133465,0.008384303180418336
