candidate,season,competition,teams,ranking_score,pairwise_accuracy,top_quartile_precision,rank_percentile_mae,zero_exposure_teams,zero_exposure_rank_mae,zero_exposure_mean_overrank,zero_exposure_extreme_overrank_count,raw_score_spearman
c1_e0_x0p666667,2021/22,UCL,80,0.46284585809523826,0.6567164179104478,0.5,0.24312500000000004,0,0.0,0.0,0,0.4513657608836562
c1_e0_x0p666667,2021/22,UEL,58,0.47453664589471584,0.6630303030303031,0.4,0.23781212841854937,1,0.08620689655172412,0.0,0,0.39471733977488643
c1_e0_x0p666667,2021/22,UECL,181,0.4286163346419057,0.6508636759040636,0.5652173913043478,0.24846616403650681,31,0.24817323115309217,0.16574585635359115,4,0.3559340459069985
c1_e0_x0p666667,2022/23,UCL,78,0.3744537750555271,0.6318257956448912,0.5,0.2501643655489809,2,0.05448717948717949,0.04487179487179488,0,0.3596044160060836
c1_e0_x0p666667,2022/23,UEL,57,0.4237238699357114,0.6417816813048933,0.4,0.24068944290550937,5,0.22280701754385962,0.12456140350877191,0,0.34637490265003756
c1_e0_x0p666667,2022/23,UECL,177,0.4445308220898888,0.6550894308943089,0.4666666666666667,0.24108653324395926,19,0.22524531668153433,0.14035087719298245,3,0.34421533143832017
c1_e0_x0p666667,2023/24,UCL,78,0.43527745491388603,0.6569903236569903,0.5,0.22748191978961216,2,0.10897435897435898,0.10897435897435898,0,0.42317213845793983
c1_e0_x0p666667,2023/24,UEL,57,0.7115353483868508,0.7536140791954745,0.4666666666666667,0.17051400430901817,3,0.2573099415204678,0.023391812865497075,0,0.6671031426351308
c1_e0_x0p666667,2023/24,UECL,178,0.4434109971919859,0.6555248441216173,0.5777777777777777,0.24122585532129784,23,0.289447972642892,0.18197361993160718,4,0.3485200924640069
c1_e0_x0p666667,2024/25,UCL,81,0.5413798774821257,0.6921884686918784,0.5238095238095238,0.21719250114311847,6,0.17695473251028804,0.0905349794238683,1,0.46935712415630626
c1_e0_x0p666667,2024/25,UEL,76,0.5262697425526641,0.6865724381625442,0.631578947368421,0.22004847645429368,9,0.23391812865497075,0.14400584795321636,1,0.43877046430880223
c1_e0_x0p666667,2024/25,UECL,164,0.42529304923737743,0.652177211348809,0.5121951219512195,0.23728435455086258,31,0.2466561762391818,0.19079464988198272,7,0.36286457605237304
c1_e0_x0p666667,2025/26,UCL,82,0.4847218233108524,0.6759708737864077,0.42857142857142855,0.2339381320642475,1,0.03658536585365854,0.03658536585365854,0,0.4323856402941312
c1_e0_x0p666667,2025/26,UEL,77,0.39569092493443386,0.631723192874272,0.55,0.24928318434811936,6,0.19913419913419914,0.10173160173160174,1,0.42339941216537025
c1_e0_x0p666667,2025/26,UECL,164,0.4273246938457849,0.6474150329271062,0.4634146341463415,0.24538964901844135,23,0.2378048780487805,0.1504506892895016,3,0.32788202785082476
c1_e0_x1,2018/19,UCL,79,0.5497031151004202,0.6990816661200393,0.6,0.2099022592533248,1,0.6582278481012658,0.0,0,0.5534238264365455
c1_e0_x1,2018/19,UEL,213,0.463390311369634,0.6603841160406501,0.5740740740740741,0.23458749366307388,30,0.2183881064162754,0.1569640062597809,5,0.3966327257226257
