power_carry,competition,draw_at_even,draw_shape,matches,brier_1x2,log_loss_1x2,distance_from_reference
0.25,UECL,0.3,1.5,2073,0.5830626578946553,0.9819354805972141,0.029999999999999964
0.25,UECL,0.24,2.0,2073,0.582127338606915,0.981959199672813,0.06000000000000004
0.25,UECL,0.3,1.25,2073,0.5836540903126145,0.9830916785900149,0.024999999999999963
0.25,UECL,0.2,1.0,2073,0.583700194495535,0.9832685790786093,0.08000000000000002
0.25,UECL,0.32,2.0,2073,0.5842893960606476,0.9845157274420475,0.059999999999999984
0.25,UECL,0.2,1.25,2073,0.5841345152931775,0.9846345034269374,0.08500000000000002
0.25,UECL,0.3,1.0,2073,0.5845750289806482,0.9851678873446326,0.019999999999999962
0.25,UECL,0.22,2.0,2073,0.5835885785005855,0.9855180486118871,0.08000000000000003
0.25,UECL,0.32,1.5,2073,0.5853301996400937,0.9859378887493929,0.04999999999999998
0.25,UECL,0.2,1.5,2073,0.5846573239181406,0.9864599355976592,0.09000000000000001
0.25,UECL,0.32,1.25,2073,0.5862545318950696,0.9878001340315369,0.04499999999999998
0.25,UECL,0.34,2.0,2073,0.5868316646811844,0.9886598029209513,0.08
0.25,UECL,0.18,1.0,2073,0.58634754776624,0.9894691540296325,0.10000000000000003
0.25,UECL,0.32,1.0,2073,0.5875723160453984,0.9907154768605704,0.03999999999999998
