fold,test_season,power_carry,competition,draw_at_even,draw_shape,matches,brier_1x2,log_loss_1x2,distance_from_reference
4,2023/24,0.75,ALL,0.26,1.0,3616,0.5726589321264881,0.9649869593069551,0.020000000000000018
4,2023/24,0.75,UCL,0.26,1.0,1036,0.5570961903918601,0.9418540079506091,0.020000000000000018
4,2023/24,0.75,UECL,0.26,1.25,838,0.5801601499807463,0.9766342812530916,0.02500000000000002
4,2023/24,0.75,UEL,0.26,1.0,1742,0.578216502826003,0.9730229436742225,0.020000000000000018
4,2023/24,0.85,ALL,0.26,1.0,3616,0.5725371307021407,0.9647018533319275,0.020000000000000018
4,2023/24,0.85,UCL,0.26,1.0,1036,0.5570042044488304,0.9414889851989279,0.020000000000000018
4,2023/24,0.85,UECL,0.26,1.25,838,0.580714436815906,0.9773208516895548,0.02500000000000002
4,2023/24,0.85,UEL,0.26,1.0,1742,0.5777813899096729,0.9723567619184371,0.020000000000000018
4,2023/24,0.9,ALL,0.26,1.0,3616,0.5725390951802622,0.9646473982853006,0.020000000000000018
4,2023/24,0.9,UCL,0.26,1.0,1036,0.5570453222798338,0.9414297527675833,0.020000000000000018
4,2023/24,0.9,UECL,0.26,1.25,838,0.5811139663383108,0.9778302831284283,0.02500000000000002
4,2023/24,0.9,UEL,0.26,1.0,1742,0.5775875085838218,0.9720582062901819,0.020000000000000018
4,2023/24,1.0,ALL,0.26,1.0,3616,0.5727111045968509,0.9647788529994314,0.020000000000000018
4,2023/24,1.0,UCL,0.26,1.0,1036,0.5573559750430741,0.9416440840059102,0.020000000000000018
4,2023/24,1.0,UECL,0.26,1.0,838,0.582234924787682,0.9793013543391543,0.020000000000000018
4,2023/24,1.0,UEL,0.26,1.0,1742,0.5772615942052299,0.9715513929274452,0.020000000000000018
5,2024/25,0.0,ALL,0.26,1.0,4422,0.5741441341156805,0.9677233150313906,0.020000000000000018
5,2024/25,0.0,UCL,0.26,1.0,1250,0.5643866235922264,0.9531201195552527,0.020000000000000018
5,2024/25,0.0,UECL,0.26,1.25,1255,0.5751789212687191,0.969965376735421,0.02500000000000002
5,2024/25,0.0,UEL,0.26,1.0,1917,0.5797171082146876,0.9756531523355526,0.020000000000000018
5,2024/25,0.25,ALL,0.26,1.0,4422,0.5721731919087698,0.9647235601969688,0.020000000000000018
5,2024/25,0.25,UCL,0.26,1.0,1250,0.5615221794557519,0.9487186750564793,0.020000000000000018
5,2024/25,0.25,UECL,0.26,1.25,1255,0.5737716143592466,0.9679121909604018,0.02500000000000002
5,2024/25,0.25,UEL,0.26,1.0,1917,0.5779394257467526,0.9729220676275365,0.020000000000000018
5,2024/25,0.5,ALL,0.26,1.0,4422,0.570512474547312,0.9621534836957604,0.020000000000000018
5,2024/25,0.5,UCL,0.26,1.0,1250,0.5590691670178759,0.9448418465278889,0.020000000000000018
5,2024/25,0.5,UECL,0.26,1.25,1255,0.5726643857804304,0.9662430001902211,0.02500000000000002
5,2024/25,0.5,UEL,0.26,1.0,1917,0.5764339105747942,0.9706188865827613,0.020000000000000018
